fund_code,report_date,ici_value,num_industries
257070,2024-03-31,0.01562954715489278,5
257070,2024-06-30,0.0895383341835156,2
257070,2024-09-30,0.0359170008903371,4
257070,2024-12-31,0.02832954683730211,3
260112,2024-03-31,0.07447254966719834,9
260112,2024-06-30,0.06718207523012844,8
260112,2024-09-30,0.017338918932387513,9
260112,2024-12-31,0.014632980706626587,7
260117,2024-03-31,0.6254470871828532,2
260117,2024-06-30,0.5585351217547612,2
260117,2024-09-30,0.4347562321993336,2
260117,2024-12-31,0.3279760705080742,6
270028,2024-03-31,0.11592068447381046,2
270028,2024-06-30,0.11455597745856003,1
270028,2024-09-30,0.11455597745856003,1
270028,2024-12-31,0.11510608097692737,2
290008,2024-03-31,0.018287703718741513,4
290008,2024-06-30,0.017629326572091177,4
290008,2024-09-30,0.017237978597447946,3
290008,2024-12-31,0.013599467620334461,3
290014,2024-03-31,0.018554307858512878,4
290014,2024-06-30,0.01720186072141074,4
290014,2024-09-30,0.017473620069369547,3
290014,2024-12-31,0.013810569828822665,3
310358,2024-03-31,0.04642324260340294,4
310358,2024-06-30,0.09021415233328502,2
310358,2024-09-30,0.06535118449038742,5
310358,2024-12-31,0.0380415834111029,6
320005,2024-03-31,0.08995906290723206,12
320005,2024-06-30,0.17217043090592074,7
320005,2024-09-30,0.07023174745407545,9
320005,2024-12-31,0.05573813609016964,9
320007,2024-03-31,0.04300098762935964,7
320007,2024-06-30,0.05384212403037935,4
320007,2024-09-30,0.045446859306511204,4
320007,2024-12-31,0.03944659807671657,5
340007,2024-03-31,0.009490685694532203,8
340007,2024-06-30,0.038716944702469336,7
340007,2024-09-30,0.01910756457705563,9
340007,2024-12-31,0.007006771556601966,8
360016,2024-03-31,0.028452508107829275,7
360016,2024-06-30,0.007723683530465479,5
360016,2024-09-30,0.00488614810290095,8
360016,2024-12-31,0.04646301462098183,6
370024,2024-03-31,0.002872654253105995,6
370024,2024-06-30,0.0013296004460491,7
370024,2024-09-30,0.024195367762827255,6
370024,2024-12-31,0.0188888441456021,8
370027,2024-03-31,0.006309593938839546,7
370027,2024-06-30,0.013602081953178904,5
370027,2024-09-30,0.027574222321116813,5
370027,2024-12-31,0.07174761472755328,5
375010,2024-03-31,0.05922059956652353,12
375010,2024-06-30,0.06170798710364326,11
375010,2024-09-30,0.09793084675776999,12
375010,2024-12-31,0.08804203274241665,12
377010,2024-03-31,0.07299974092129655,7
377010,2024-06-30,0.05853537114397141,9
377010,2024-09-30,0.0385176945973705,9
377010,2024-12-31,0.025658281753597592,11
377240,2024-03-31,0.06177369576087083,9
377240,2024-06-30,0.059640422524898755,5
377240,2024-09-30,0.07908408113970779,6
377240,2024-12-31,0.06738545874179129,9
378010,2024-03-31,0.002886441805268936,6
378010,2024-06-30,0.0012816207446859496,7
378010,2024-09-30,0.023819215064318458,6
378010,2024-12-31,0.018865379503117584,8
379010,2024-03-31,0.025660150441786725,11
379010,2024-06-30,0.0649393033251103,9
379010,2024-09-30,0.062365228873356916,9
379010,2024-12-31,0.041041963897782675,8
400001,2024-03-31,0.01309433063561209,10
400001,2024-06-30,0.023434465245042623,7
400001,2024-09-30,0.015881436841958103,7
400001,2024-12-31,0.02334407219812722,6
460007,2024-03-31,0.02823083357393432,10
460007,2024-06-30,0.06880216256634526,8
460007,2024-09-30,0.010420316043102541,10
460007,2024-12-31,0.03573413761653423,12
