fund_code,quarter,as_value,rg_value,quarter_return,ici_value,next_return,rg_vol,as_change,as_rg_inter,fund_size,log_size,as_value_z,rg_value_z,rg_vol_z,as_change_z,as_rg_z,abs_return,ici_z,as_value_q,rg_value_q
630002,2021Q4,0.9158280420111018,0.03639539204160302,-0.029590056694286937,0.04267402564898091,0.021897007042253724,0.008640696289615432,-0.005579054464765254,0.03333192063168773,,,-1.2156185829120352,1.5286597416067729,-1.2646547907116417,-0.2458210645480191,-1.858267188846703,0.021897007042253724,-0.07606638198552688,Q1(低),Q5(高)
630002,2022Q2,0.9250194889562582,-0.0023030310277266167,0.021897007042253724,0.04267402564898091,0.08665212900263985,0.019782185707968313,0.010036214795271503,-0.002130348584318081,,,-0.884769989216017,0.15161657670033343,-0.5516512769075597,0.6523265673071843,-0.13414579693212342,0.08665212900263985,-0.07606638198552688,Q1(低),Q3
630002,2022Q4,0.9222651933701658,-0.01967894363090235,0.08665212900263985,0.04267402564898091,-0.02550389289092636,0.02535988281187091,-0.002977554115319414,-0.018149204753074747,,,-0.9839115962686508,-0.46668721416339304,-0.19470459907233187,-0.09618987092492784,0.45917896184567375,0.02550389289092636,-0.07606638198552688,Q1(低),Q2
630002,2023Q2,0.8837605690511341,0.025154494584471537,-0.02550389289092636,0.04267402564898091,-0.03413180604465771,0.025550818771220167,-0.04175005692053391,0.022230550448166235,,,-2.369895857806308,1.128664088475752,-0.182485585544094,-2.3262783180530344,-2.6748163481334166,0.03413180604465771,-0.07606638198552688,Q1(低),Q5(高)
630002,2023Q4,0.9023662433741372,0.022211513135409405,-0.03413180604465771,0.04267402564898091,-0.03379472547809992,0.021272653840818674,0.02105284505166294,0.020042919667654688,,,-1.7001796290926634,1.023941152308119,-0.4562682472217114,1.2859730457015668,-1.7408838885439322,0.03379472547809992,-0.07606638198552688,Q1(低),Q5(高)
630002,2024Q2,0.9019156376352311,0.004486148792412418,-0.03379472547809992,0.06073041140715129,-0.09046920308842543,0.020613162139781316,-0.0004993601458551655,0.004046127748635168,,,-1.7163993033091367,0.3932024844747698,-0.49847264938985375,0.04634907655569483,-0.6748924704119165,0.09046920308842543,0.41611305774576846,Q1(低),Q4
630010,2021Q2,0.9633333333333334,-0.07798431516754864,0.33939393939393936,0.04267402564898091,0.007643884892086339,0.024472389741199717,0.0,-0.07512489027807186,,,0.49434709723176234,-2.541423262400515,-0.2515000286692919,0.07507090805113395,-1.2563452126049701,0.007643884892086339,-0.07606638198552688,Q4,Q1(低)
630010,2021Q4,0.9818273994699851,0.02820050697175458,0.007643884892086339,0.04267402564898091,0.0,0.07508400779378875,0.019197992529396357,0.027688030423812984,,,1.1600459593958703,1.2370532734979394,2.987408177926749,1.1792869954918594,1.435038651478719,0.0,-0.07606638198552688,Q5(高),Q5(高)
630010,2022Q2,0.9866666666666667,-0.00645422440858606,0.0,0.04267402564898091,0.032439176543979986,0.054149054691324715,0.004928836982237339,-0.006368168083138246,,,1.3342366777990364,0.0039006746576000554,1.6476685288639903,0.3585641472440131,0.0052044231963311914,0.032439176543979986,-0.07606638198552688,Q5(高),Q3
630010,2022Q4,0.9766666666666668,-0.028269657904603045,0.032439176543979986,0.04267402564898091,-0.04081632653061229,0.044468210134074766,-0.010135135135134976,-0.027610032553495645,,,0.9742840004130653,-0.7723788530984019,1.028139494034931,-0.5078743789347478,-0.7525163588311663,0.04081632653061229,-0.07606638198552688,Q5(高),Q1(低)
630010,2023Q2,0.97,0.00725155798376903,-0.04081632653061229,0.04267402564898091,-0.04149377593361003,0.023724471858719124,-0.006825938566553003,0.007034011244255959,,,0.7343155488224098,0.4916066964062157,-0.29936329525976607,-0.31753843198942644,0.3609944410763021,0.04149377593361003,-0.07606638198552688,Q4,Q4
630010,2023Q4,0.96,0.0013475393178923878,-0.04149377593361003,0.04267402564898091,-0.04050833995234304,0.015541400925595136,-0.010309278350515427,0.0012936377451766923,,,0.3743628714364346,0.2815183283411884,-0.8230417829325581,-0.517890620979186,0.10539000975979229,0.04050833995234304,-0.07606638198552688,Q4,Q4
