fund_code,date,nav,daily_return
519173,2023-02-16,1.375,-1.01
519173,2023-02-17,1.345,-2.18
519173,2023-02-20,1.37,1.86
519173,2023-02-21,1.367,-0.22
519173,2023-02-22,1.375,0.59
519173,2023-02-23,1.36,-1.09
519173,2023-02-24,1.355,-0.37
519173,2023-02-27,1.353,-0.15
519173,2023-02-28,1.363,0.74
519173,2023-03-01,1.386,1.69
519173,2023-03-02,1.387,0.07
519173,2023-03-03,1.378,-0.65
519173,2023-03-06,1.381,0.22
519173,2023-03-07,1.359,-1.59
519173,2023-03-08,1.367,0.59
519173,2023-03-09,1.374,0.51
519173,2023-03-10,1.357,-1.24
519173,2023-03-13,1.384,1.99
519173,2023-03-14,1.378,-0.43
519173,2023-03-15,1.371,-0.51
519173,2023-03-16,1.358,-0.95
519173,2023-03-17,1.376,1.33
519173,2023-03-20,1.356,-1.45
519173,2023-03-21,1.377,1.55
519173,2023-03-22,1.395,1.31
519173,2023-03-23,1.42,1.79
519173,2023-03-24,1.443,1.62
519173,2023-03-27,1.451,0.55
519173,2023-03-28,1.422,-2.0
519173,2023-03-29,1.429,0.49
519173,2023-03-30,1.423,-0.42
519173,2023-03-31,1.471,3.37
519173,2023-04-03,1.539,4.62
519173,2023-04-04,1.543,0.26
519173,2023-04-06,1.529,-0.91
519173,2023-04-07,1.571,2.75
519173,2023-04-10,1.487,-5.35
519173,2023-04-11,1.497,0.67
519173,2023-04-12,1.544,3.14
519173,2023-04-13,1.505,-2.53
519173,2023-04-14,1.533,1.86
519173,2023-04-17,1.515,-1.17
519173,2023-04-18,1.531,1.06
519173,2023-04-19,1.546,0.98
519173,2023-04-20,1.617,4.59
519173,2023-04-21,1.539,-4.82
519173,2023-04-24,1.552,0.84
519173,2023-04-25,1.576,1.55
519173,2023-04-26,1.536,-2.54
519173,2023-04-27,1.477,-3.84
519173,2023-04-28,1.562,5.75
519173,2023-05-04,1.567,0.32
519173,2023-05-05,1.521,-2.94
519173,2023-05-08,1.53,0.59
519173,2023-05-09,1.501,-1.9
519173,2023-05-10,1.468,-2.2
519173,2023-05-11,1.461,-0.48
519173,2023-05-12,1.435,-1.78
519173,2023-05-15,1.439,0.28
519173,2023-05-16,1.435,-0.28
519173,2023-05-17,1.435,0.0
519173,2023-05-18,1.46,1.74
519173,2023-05-19,1.468,0.55
519173,2023-05-22,1.462,-0.41
519173,2023-05-23,1.436,-1.78
519173,2023-05-24,1.443,0.49
519173,2023-05-25,1.439,-0.28
519173,2023-05-26,1.455,1.11
519173,2023-05-29,1.471,1.1
519173,2023-05-30,1.502,2.11
519173,2023-05-31,1.505,0.2
519173,2023-06-01,1.505,0.0
519173,2023-06-02,1.498,-0.47
519173,2023-06-05,1.522,1.6
519173,2023-06-06,1.481,-2.69
519173,2023-06-07,1.476,-0.34
519173,2023-06-08,1.45,-1.76
519173,2023-06-09,1.497,3.24
519173,2023-06-12,1.498,0.07
519173,2023-06-13,1.526,1.87
519173,2023-06-14,1.558,2.1
519173,2023-06-15,1.534,-1.54
519173,2023-06-16,1.588,3.52
519173,2023-06-19,1.627,2.46
519173,2023-06-20,1.643,0.98
519173,2023-06-21,1.546,-5.9
519173,2023-06-26,1.471,-4.85
519173,2023-06-27,1.473,0.14
519173,2023-06-28,1.449,-1.63
519173,2023-06-29,1.469,1.38
519173,2023-06-30,1.477,0.54
519173,2023-07-03,1.44,-2.51
519173,2023-07-04,1.449,0.62
519173,2023-07-05,1.421,-1.93
519173,2023-07-06,1.424,0.21
519173,2023-07-07,1.407,-1.19
519173,2023-07-10,1.401,-0.43
519173,2023-07-11,1.422,1.5
519173,2023-07-12,1.384,-2.67
519173,2023-07-13,1.413,2.1
519173,2023-07-14,1.409,-0.28
519173,2023-07-17,1.406,-0.21
519173,2023-07-18,1.399,-0.5
519173,2023-07-19,1.392,-0.5
519173,2023-07-20,1.35,-3.02
519173,2023-07-21,1.346,-0.3
519173,2023-07-24,1.349,0.22
519173,2023-07-25,1.367,1.33
519173,2023-07-26,1.351,-1.17
519173,2023-07-27,1.338,-0.96
519173,2023-07-28,1.352,1.05
519173,2023-07-31,1.356,0.3
519173,2023-08-01,1.36,0.29
519173,2023-08-02,1.359,-0.07
519173,2023-08-03,1.357,-0.15
519173,2023-08-04,1.364,0.52
519173,2023-08-07,1.364,0.0
519173,2023-08-08,1.358,-0.44
519173,2023-08-09,1.343,-1.1
519173,2023-08-10,1.351,0.6
519173,2023-08-11,1.324,-2.0
519173,2023-08-14,1.321,-0.23
519173,2023-08-15,1.31,-0.83
519173,2023-08-16,1.297,-0.99
519173,2023-08-17,1.303,0.46
519173,2023-08-18,1.293,-0.77
519173,2023-08-21,1.285,-0.62
519173,2023-08-22,1.296,0.86
519173,2023-08-23,1.279,-1.31
519173,2023-08-24,1.292,1.02
519173,2023-08-25,1.278,-1.08
519173,2023-08-28,1.279,0.08
519173,2023-08-29,1.299,1.56
519173,2023-08-30,1.311,0.92
