fund_code,report_date,year,quarter,AS_new,num_holdings
11822,2021-06-30,2021,2,0.9856666666666546,20
11822,2021-12-31,2021,4,0.985504197129693,80
11822,2022-06-30,2022,2,0.9755114205447553,102
11822,2022-12-31,2022,4,0.9622514269673323,135
11822,2023-06-30,2023,2,0.9517285070231553,150
11822,2023-12-31,2023,4,0.9550592723004581,164
11822,2024-06-30,2024,2,0.9540281618023417,109
11822,2024-12-31,2024,4,0.9543333333333206,113
11822,2025-06-30,2025,2,0.9499101818517361,115
11822,2025-12-31,2025,4,0.9456031463719196,132
11823,2021-06-30,2021,2,0.9856666666666546,20
11823,2021-12-31,2021,4,0.985504197129693,80
11823,2022-06-30,2022,2,0.9755114205447553,102
11823,2022-12-31,2022,4,0.9622514269673323,135
11823,2023-06-30,2023,2,0.9517163221667735,150
11823,2023-12-31,2023,4,0.9550315810315693,164
11823,2024-06-30,2024,2,0.9540281618023417,109
11823,2024-12-31,2024,4,0.9543333333333206,113
11823,2025-06-30,2025,2,0.9499101818517361,115
11823,2025-12-31,2025,4,0.9456031463719196,132
1184,2020-06-30,2020,2,0.9452694866448095,97
1184,2020-12-31,2020,4,0.9662008845713254,113
1184,2021-06-30,2021,2,0.9662232568451256,120
1184,2021-12-31,2021,4,0.9739999999999863,115
1184,2022-06-30,2022,2,0.9703757846579281,102
1184,2022-12-31,2022,4,0.968666666666653,109
1184,2023-06-30,2023,2,0.9668959417273542,137
1184,2023-12-31,2023,4,0.963666666666653,145
1184,2024-06-30,2024,2,0.9453333333333206,96
1184,2024-12-31,2024,4,0.9346032544171944,106
1184,2025-06-30,2025,2,0.9429140893470654,135
1184,2025-12-31,2025,4,0.9387722967340922,127
11891,2021-06-30,2021,2,0.9876666666666504,10
11891,2021-12-31,2021,4,0.9816666666666509,43
11891,2022-06-30,2022,2,0.9679544543810636,100
11891,2022-12-31,2022,4,0.9672757926232667,67
11891,2023-06-30,2023,2,0.9830261136712609,129
11891,2023-12-31,2023,4,0.9805757079619052,134
11891,2024-06-30,2024,2,0.9746666666666534,81
11891,2024-12-31,2024,4,0.9706666666666529,77
11891,2025-06-30,2025,2,0.9789037165414843,86
11891,2025-12-31,2025,4,0.962289015397167,136
11892,2021-06-30,2021,2,0.9876666666666504,10
11892,2021-12-31,2021,4,0.9816666666666509,43
11892,2022-06-30,2022,2,0.9679544543810636,100
11892,2022-12-31,2022,4,0.9672757926232667,67
