fund_code,report_date,quarter,stock_code,stock_name,hold_ratio
002910,2021-12-31,2021Q4,301021,英诺激光,0.0
002910,2021-12-31,2021Q4,301048,金鹰重工,0.0
002910,2021-12-31,2021Q4,301028,东亚机械,0.0
002910,2021-12-31,2021Q4,300774,倍杰特,0.0
002910,2021-12-31,2021Q4,301040,中环海陆,0.0
002910,2021-12-31,2021Q4,301078,孩子王,0.0
002910,2021-12-31,2021Q4,301062,上海艾录,0.0
002910,2021-12-31,2021Q4,301193,家联科技,0.0
002910,2021-12-31,2021Q4,301012,扬电科技,0.0
002910,2021-12-31,2021Q4,301025,读客文化,0.0
002910,2021-12-31,2021Q4,301066,万事利,0.0
002910,2021-12-31,2021Q4,300814,中富电路,0.0
002910,2021-12-31,2021Q4,301055,张小泉,0.0
002910,2021-12-31,2021Q4,301133,金钟股份,0.0
002910,2021-12-31,2021Q4,301198,喜悦智行,0.0
002910,2021-12-31,2021Q4,301030,仕净科技,0.0
002910,2021-12-31,2021Q4,301016,雷尔伟,0.0
002910,2021-12-31,2021Q4,301081,严牌股份,0.0
002910,2021-12-31,2021Q4,301098,金埔园林,0.0
002910,2021-12-31,2021Q4,301049,超越科技,0.0
002910,2021-12-31,2021Q4,301004,嘉益股份,0.0
002910,2021-12-31,2021Q4,301056,森赫股份,0.0
002910,2021-12-31,2021Q4,301041,金百泽,0.0
002910,2021-12-31,2021Q4,301072,中捷精工,0.0
002910,2021-12-31,2021Q4,301007,德迈仕,0.0
002910,2021-12-31,2021Q4,301083,百胜智能,0.0
002910,2021-12-31,2021Q4,301063,海锅股份,0.0
002910,2021-12-31,2021Q4,001234,泰慕士,0.0
002910,2021-12-31,2021Q4,301038,深水规院,0.0
002910,2021-12-31,2021Q4,301059,金三江,0.0
002910,2021-12-31,2021Q4,301027,华蓝集团,0.0
002910,2021-12-31,2021Q4,603176,汇通集团,0.0
002910,2021-12-31,2021Q4,301073,君亭酒店,0.0
002910,2021-12-31,2021Q4,600276,恒瑞医药,0.0
002910,2021-12-31,2021Q4,301057,汇隆新材,0.0
002910,2021-12-31,2021Q4,301068,大地海洋,0.0
002910,2021-12-31,2021Q4,300772,运达股份,0.0
002910,2021-12-31,2021Q4,301079,邵阳液压,0.0
002910,2021-12-31,2021Q4,002648,卫星化学,8.02
002910,2021-12-31,2021Q4,002206,海利得,7.62
002910,2021-12-31,2021Q4,601808,中海油服,7.07
002910,2021-12-31,2021Q4,600583,海油工程,6.92
002910,2021-12-31,2021Q4,600989,宝丰能源,5.78
002910,2021-12-31,2021Q4,600188,兖矿能源,5.23
002910,2021-12-31,2021Q4,603995,甬金股份,5.22
002910,2021-12-31,2021Q4,000807,云铝股份,4.61
002910,2021-12-31,2021Q4,002475,立讯精密,4.59
002910,2021-12-31,2021Q4,601702,华峰铝业,4.57
002910,2021-12-31,2021Q4,002648,卫星化学,9.75
002910,2021-12-31,2021Q4,600989,宝丰能源,5.74
002910,2021-12-31,2021Q4,601808,中海油服,5.14
002910,2021-12-31,2021Q4,000902,新洋丰,5.04
002910,2021-12-31,2021Q4,600583,海油工程,4.88
002910,2021-12-31,2021Q4,002206,海利得,4.7
002910,2021-12-31,2021Q4,601233,桐昆股份,4.31
002910,2021-12-31,2021Q4,600660,福耀玻璃,4.08
002910,2021-12-31,2021Q4,000807,云铝股份,4.04
002910,2021-12-31,2021Q4,002475,立讯精密,4.03
002910,2021-12-31,2021Q4,600989,宝丰能源,7.42
002910,2021-12-31,2021Q4,002648,卫星化学,7.3
002910,2021-12-31,2021Q4,603378,亚士创能,5.7
002910,2021-12-31,2021Q4,000902,新洋丰,4.93
002910,2021-12-31,2021Q4,601808,中海油服,4.92
002910,2021-12-31,2021Q4,600583,海油工程,4.86
002910,2021-12-31,2021Q4,002206,海利得,4.57
002910,2021-12-31,2021Q4,600660,福耀玻璃,3.6
002910,2021-12-31,2021Q4,002734,利民股份,3.54
002910,2021-12-31,2021Q4,002475,立讯精密,3.51
002910,2022-06-30,2022Q2,601699,潞安环能,8.49
002910,2022-06-30,2022Q2,603348,文灿股份,8.48
002910,2022-06-30,2022Q2,000933,神火股份,8.36
002910,2022-06-30,2022Q2,603305,旭升集团,8.2
002910,2022-06-30,2022Q2,600546,山煤国际,8.19
002910,2022-06-30,2022Q2,002648,卫星化学,7.56
002910,2022-06-30,2022Q2,601702,华峰铝业,6.78
002910,2022-06-30,2022Q2,600989,宝丰能源,6.52
002910,2022-06-30,2022Q2,603596,伯特利,5.43
002910,2022-06-30,2022Q2,603995,甬金股份,4.72
002910,2022-06-30,2022Q2,600546,山煤国际,9.66
002910,2022-06-30,2022Q2,600188,兖矿能源,9.48
002910,2022-06-30,2022Q2,603348,文灿股份,8.55
002910,2022-06-30,2022Q2,600989,宝丰能源,7.9
