fund_code,report_date,rc_mom,lead2,fut4q
17103,2026-04-01,,,
17103,2026-07-01,-0.8303030303030302,,
17234,2025-01-01,,0.1412890231621342,0.9558395446701458
17234,2025-04-01,,0.6608135533398034,1.0113139881362483
17234,2025-07-01,,0.164594623313143,1.5179418136071825
17234,2025-10-01,,0.0446167883211676,
17234,2026-01-01,,0.6479168486330686,
17234,2026-04-01,,,
17234,2026-07-01,,,
17612,2023-04-01,,-0.1910447761194035,-0.31135782887783053
17612,2023-07-01,,-0.096863468634686,-0.1973584014515501
17612,2023-10-01,,0.0194075587334012,0.11623080871836639
17612,2024-01-01,-0.2252747252747252,0.0711422845691382,0.29809427735305233
17612,2024-04-01,0.4303030303030302,0.122544434050513,0.3378265035658873
17612,2024-07-01,,0.0849999999999999,0.2797371559075534
17612,2024-10-01,,0.0591397849462362,0.7699343109765819
17612,2025-01-01,-0.1789215686274509,0.0130529369108043,0.848715935477247
17612,2025-04-01,,0.6127415891195416,0.9245875921786084
17612,2025-07-01,-0.0441558441558441,0.1637816245006649,1.9148948703215662
17612,2025-10-01,,0.1350114416475976,
17612,2026-01-01,0.3713896223194924,1.0033602150537622,
17612,2026-04-01,,,
17612,2026-07-01,-0.0181818181818181,,
17732,2023-04-01,,-0.0575570240886808,-0.209822201622627
17732,2023-07-01,,-0.0363040036190914,-0.15186343899793578
17732,2023-10-01,,-0.1085553338810005,-0.020246264533315086
17732,2024-01-01,-0.4112198279077526,0.0505529225908369,0.1257298893599567
17732,2024-04-01,0.1515151515151515,0.0740601503759399,0.21893457662125387
17732,2024-07-01,,0.1096721502741804,0.2658723107308973
17732,2024-10-01,0.3575757575757575,-0.0153506466197033,0.460541485126313
17732,2025-01-01,,0.0974906567004803,0.4026331385331139
17732,2025-04-01,,0.2687293247713556,0.4795951595603995
17732,2025-07-01,,0.0517638036809813,1.263560546815963
17732,2025-10-01,,0.0616113744075823,
17732,2026-01-01,-0.3818181818181818,0.8814560439560437,
17732,2026-04-01,,,
17732,2026-07-01,,,
17811,2023-04-01,,-0.1234849815562971,-0.07433355853122289
17811,2023-07-01,,-0.0129258517034076,-0.33092440709476145
17811,2023-10-01,,-0.0956248096639936,-0.025326819659042488
17811,2024-01-01,-0.3272727272727273,-0.0988887641710631,0.06641884237102501
