fund_code,report_date,sharpe8_lag,ir8_lag,bull
10913,2026-01-01,0.4001749794446751,0.1951246533880881,1.0
10913,2026-04-01,0.38521326375619525,0.1432521240838909,0.0
10913,2026-07-01,0.35481797228210976,0.1768876703862022,0.0
11120,2021-01-01,,,1.0
11120,2021-04-01,,,0.0
11120,2021-07-01,,,0.0
11120,2021-10-01,,,1.0
11120,2022-01-01,-0.1781261278616003,-1.076241771853191,1.0
11120,2022-04-01,-0.04111790192848293,-1.3091211440920731,0.0
11120,2022-07-01,-0.32826889426099803,-0.349420578472606,1.0
11120,2022-10-01,-0.31733342104480505,-0.5376178624094415,0.0
11120,2023-01-01,-0.45194589902989,-0.39679119812429775,1.0
11120,2023-04-01,-0.6365895593713805,-0.3924661904590529,0.0
11120,2023-07-01,-0.2561969896010569,-0.22454486646472416,1.0
11120,2023-10-01,-0.39692846640193985,-0.11973825484820178,0.0
11120,2024-01-01,-0.40183249711393143,-0.08888283003703239,0.0
11120,2024-04-01,-0.5406680276397559,0.01577334803915835,1.0
11120,2024-07-01,-0.4630733214267762,-0.2349767246115402,0.0
11120,2024-10-01,-0.31742372676294944,0.10144030543177206,1.0
11120,2025-01-01,-0.11106351064432066,-0.1689504883963339,1.0
11120,2025-04-01,-0.0967988306629625,-0.16168654862292878,0.0
11120,2025-07-01,-0.37661144809100666,-0.4812801503431738,1.0
11120,2025-10-01,-0.17935222550979202,-0.5817872564724383,1.0
11120,2026-01-01,0.3474025562034283,0.10049418492778882,1.0
11120,2026-04-01,0.421695604661578,0.12991094230228128,0.0
11120,2026-07-01,0.5304163854426986,0.25200978386862355,0.0
11300,2021-04-01,,,0.0
11300,2021-07-01,,,0.0
11300,2021-10-01,,,1.0
11300,2022-01-01,,,1.0
11300,2022-04-01,0.4850461344425429,-0.1735732535310326,0.0
11300,2022-07-01,-0.12183139988592519,0.20761889439390802,1.0
11300,2022-10-01,0.20364460729710243,0.17669075958519914,0.0
11300,2023-01-01,0.0030560112945408717,0.1920595053343506,1.0
11300,2023-04-01,-0.02030760822854598,0.11160954638699627,0.0
11300,2023-07-01,0.0068709541104844465,-0.11068983143804768,1.0
11300,2023-10-01,-0.10356630186396582,0.20798470698553928,0.0
11300,2024-01-01,-0.2416933094831228,0.09634807836014318,0.0
11300,2024-04-01,-0.3029395045894042,0.2995356912113838,1.0
11300,2024-07-01,-0.06944348928476075,-0.12348124872529438,0.0
11300,2024-10-01,-0.47349775958219914,-0.2914055493073671,1.0
11300,2025-01-01,0.014448719239172859,-0.4540823012696269,1.0
11300,2025-04-01,-0.05522747224862074,-0.5427229048449722,0.0
11300,2025-07-01,-0.01364103974864432,-0.5504709451355426,1.0
11300,2025-10-01,-0.016866913638417386,-1.0559114694582892,1.0
11300,2026-01-01,0.3964112505237675,-0.07516143845318188,1.0
11300,2026-04-01,0.44707295048413387,-0.13020407232105702,0.0
11300,2026-07-01,0.4653285565778279,-0.023734511926943903,0.0
11301,2021-04-01,,,0.0
11301,2021-07-01,,,0.0
11301,2021-10-01,,,1.0
11301,2022-01-01,,,1.0
11301,2022-04-01,0.4682816877422226,-0.1717535336455038,0.0
11301,2022-07-01,-0.13190251480910972,0.20857405583977248,1.0
11301,2022-10-01,0.19594816075710242,0.17765387669936367,0.0
11301,2023-01-01,-0.0043714037391990946,0.19295278045411035,1.0
11301,2023-04-01,-0.028335639841536128,0.1124079999171106,0.0
11301,2023-07-01,-0.0014736348636536075,-0.11033777692092829,1.0
11301,2023-10-01,-0.1122430229920263,0.20817042030348376,0.0
11301,2024-01-01,-0.2503760366101783,0.09607525388813397,0.0
11301,2024-04-01,-0.31175602863718344,0.2991617978557155,1.0
11301,2024-07-01,-0.07895403796462964,-0.12391801871682412,0.0
11301,2024-10-01,-0.48887071744578436,-0.2918142719124085,1.0
11301,2025-01-01,-0.0023819834306708604,-0.4545662032695966,1.0
11301,2025-04-01,-0.0713230978329853,-0.5431991179580948,0.0
11301,2025-07-01,-0.03008841688278399,-0.5509697677523068,1.0
11301,2025-10-01,-0.03320055448760205,-1.0561796122710363,1.0
11301,2026-01-01,0.3919799286122156,-0.07517838567105467,1.0
11301,2026-04-01,0.44257627616102957,-0.13024118297416615,0.0
11301,2026-07-01,0.4606827429277511,-0.023886088189677218,0.0
11369,2021-07-01,,,0.0
11369,2021-10-01,,,1.0
11369,2022-01-01,,,1.0
11369,2022-04-01,,,0.0
11369,2022-07-01,0.05823401097761906,-0.7648743967523332,1.0
11369,2022-10-01,-0.058355101948870815,-0.8839859438893566,0.0
11369,2023-01-01,-0.1345829689528275,-0.4425669345393992,1.0
11369,2023-04-01,-0.10382773818361389,-0.418197427566022,0.0
11369,2023-07-01,0.014469943358104956,-0.21100522904292904,1.0
11369,2023-10-01,-0.13057190860189197,-0.09100329123546567,0.0
11369,2024-01-01,-0.4857434787728141,-0.13982292430372195,0.0
11369,2024-04-01,-0.5436380941903094,0.056092779728853744,1.0
11369,2024-07-01,-0.4785617068561275,-0.06433592896086483,0.0
11369,2024-10-01,-0.3826135239817248,0.20326535812274743,1.0
