fund_code,year,quarter,anchor_high,cgo
501026,2022,1,0.6471656962277296,-0.14732843309591967
501026,2022,2,0.7188105648799907,0.04230093803612892
501026,2022,3,0.7407991619449366,-0.033549982705896146
501026,2022,4,0.7900479332387953,0.09760386518183516
501026,2023,1,0.8763347413193414,0.19813834101549935
501026,2023,2,0.7904006588713992,0.21333479273639966
501026,2023,3,0.7700085682650128,0.11127187982875542
501026,2023,4,0.7483488663820604,0.03705064899490732
501026,2024,1,0.9131941035408093,0.2013412310402195
501026,2024,2,0.8745138615399679,0.2757159470858266
501026,2024,3,0.9509069261005602,0.4142752073537038
501026,2024,4,0.87539029789932,0.36566599638312
501026,2025,1,0.8066455407931165,0.24554879708429284
501026,2025,2,0.9116316329898161,0.3844314501069914
501026,2025,3,0.9634073707454633,0.8249115353430131
501026,2025,4,0.9656289899442988,0.7187460500681002
501026,2026,1,0.8551609687023056,0.4103426807717898
501026,2026,2,0.9957616603763003,1.127755806170146
501054,2018,2,0.8175588045707415,-0.005648608491482562
501054,2018,4,0.6640578971216822,-0.15923417563476028
501054,2019,2,0.8343188549456994,0.15575771949639852
501054,2019,4,0.9107715303225613,0.19989079412203956
501054,2020,1,0.8570307377485179,0.07950049794928558
501054,2020,2,0.8560279307169466,0.22436420636423252
501054,2020,3,0.9086810767804915,0.2938522369710257
501054,2020,4,0.9101827715607242,0.39459364854731677
501054,2021,1,0.8308945732917223,0.205824148077042
501054,2021,2,0.8507057178710201,0.19567726701379298
501054,2021,3,0.8072953715296661,0.026259019259890267
501054,2021,4,0.7864158736019735,0.034725270449888414
501054,2022,1,0.6581266300274273,-0.13556989132984515
501054,2022,2,0.7200464092910556,-0.006084445513041679
501054,2022,3,0.6428039483838913,-0.09073194071848971
501054,2022,4,0.6628009370812717,0.027401486103915896
501054,2023,1,0.6788373582956488,0.07603470987362922
501054,2023,2,0.7426670945602053,0.15202416442844455
501054,2023,3,0.7585486534428505,0.04936947187123981
501054,2023,4,0.72504865824458,-0.05012620001440032
501054,2024,1,0.7754646895031668,0.06927311601955272
501054,2024,2,0.7726286210148523,0.0303838023880821
501054,2024,3,0.8712811053488536,0.1601670194572315
501054,2024,4,0.9240038181643763,0.143180567620194
501054,2025,1,0.9398621433563257,0.24588461435588957
501054,2025,2,0.9171167780707798,0.19644080249715204
501054,2025,3,0.9879795540608267,0.9001566811439371
501054,2025,4,0.9484322105008315,0.5750084085672363
501054,2026,1,0.8821295839489017,0.31589990401774337
501054,2026,2,0.9734552973875159,0.777252517840185
501079,2019,4,0.9451172607544431,0.173365085371084
501079,2020,1,0.8121055645234193,0.1064826849216177
501079,2020,2,0.9839451530330097,0.48550484780699077
501079,2020,3,0.9061815231367129,0.2773108143301545
501079,2020,4,0.9587730018919467,0.44160703104536425
501079,2021,1,0.8764297525815273,0.22417248962478709
501079,2021,2,0.9756719156716352,0.4200386118199807
501079,2021,3,0.8751505057275166,0.28127070344410565
501079,2021,4,0.8346429064967167,0.12184711340952814
501079,2022,1,0.7183520431624476,-0.00878184298612285
501079,2022,2,0.7285584547024357,0.05076614994582838
501079,2022,3,0.7400671515321434,0.037066915380398635
501079,2022,4,0.7472093034403295,0.042445711028229
501079,2023,1,0.8808060555419669,0.16493111140634684
501079,2023,2,0.7831430107787208,0.31838667989735514
501079,2023,3,0.6783890748834738,0.09556988594095321
501079,2023,4,0.7094226959678899,0.08700901615498426
501079,2024,1,0.6831226096969771,0.006655371224954398
501079,2024,2,0.7669781299090519,0.02430745541459276
501079,2024,3,0.9154737107672436,0.13717288298914743
501079,2024,4,0.8515385746224584,0.27985236276399744
501079,2025,1,0.9001281623036071,0.13598141617560733
501079,2025,2,0.9042900457714544,0.10770970255797425
501079,2025,3,0.9804169534162389,0.5811142166048545
501079,2025,4,0.8647253789919447,0.243003581432853
501079,2026,1,0.914248350042889,0.5285682215745039
