fund_code,year,mkt2_mean,n_days
18325,2024,0.0001392455095673658,380
18325,2025,0.00013718187835461877,485
18325,2026,9.07999055118287e-05,299
18326,2024,0.0001392455095673658,380
18326,2025,0.00013718187835461877,485
18326,2026,9.07999055118287e-05,299
18358,2024,0.00014440000132488339,358
18358,2025,0.00013718187835461877,485
18358,2026,9.07999055118287e-05,299
18359,2024,0.00014440000132488339,358
18359,2025,0.00013718187835461877,485
18359,2026,9.07999055118287e-05,299
1856,2018,0.0001174634672610994,381
1856,2019,0.00015397045530891122,487
1856,2020,0.0001660678296102018,487
1856,2021,0.0001385099331417171,486
1856,2022,0.0001145390831437884,485
1856,2023,9.82096774663666e-05,484
1856,2024,0.00012074188131685313,484
1856,2025,0.00013718187835461877,485
1856,2026,9.07999055118287e-05,299
18956,2024,0.00015221181378240143,322
18956,2025,0.00013718187835461877,485
18956,2026,9.07999055118287e-05,299
18957,2024,0.00015221181378240143,322
18957,2025,0.00013718187835461877,485
18957,2026,9.07999055118287e-05,299
19018,2024,0.00016192141170492719,294
19018,2025,0.00013718187835461877,485
19018,2026,9.07999055118287e-05,299
19032,2024,0.00016961300181946726,274
19032,2025,0.00013718187835461877,485
19032,2026,9.07999055118287e-05,299
19034,2024,0.00016961300181946726,274
19034,2025,0.00013718187835461877,485
19034,2026,9.07999055118287e-05,299
19426,2025,0.00013846622612139002,398
19426,2026,9.07999055118287e-05,299
19427,2025,0.00013846622612139002,398
19427,2026,9.07999055118287e-05,299
19571,2024,0.00015761377463196572,304
19571,2025,0.00013718187835461877,485
19571,2026,9.07999055118287e-05,299
19829,2025,0.00013474317873281405,417
19829,2026,9.07999055118287e-05,299
19830,2025,0.00013474317873281405,417
19830,2026,9.07999055118287e-05,299
19925,2024,0.00016512876183299058,283
19925,2025,0.00013718187835461877,485
19925,2026,9.07999055118287e-05,299
1998,2017,3.730461475352709e-05,269
1998,2018,9.94979535814225e-05,487
1998,2019,0.00015397045530891122,487
1998,2020,0.0001660678296102018,487
1998,2021,0.0001385099331417171,486
1998,2022,0.0001145390831437884,485
1998,2023,9.82096774663666e-05,484
1998,2024,0.00012074188131685313,484
1998,2025,0.00013718187835461877,485
1998,2026,9.07999055118287e-05,299
20469,2025,0.0001339755844045943,436
20469,2026,9.07999055118287e-05,299
20470,2025,0.0001339755844045943,436
20470,2026,9.07999055118287e-05,299
2051,2016,0.00022232587571926302,276
2051,2017,0.00012870606087436696,488
2051,2018,9.94979535814225e-05,487
2051,2019,0.00015397045530891122,487
2051,2020,0.0001660678296102018,487
2051,2021,0.0001385099331417171,486
2051,2022,0.0001145390831437884,485
2051,2023,9.82096774663666e-05,484
2051,2024,0.00012074188131685313,484
2051,2025,0.00013718187835461877,485
2051,2026,9.07999055118287e-05,299
2112,2016,0.00022120506293546699,278
2112,2017,0.00012870606087436696,488
2112,2018,9.94979535814225e-05,487
