fund_code,composite,ff5_adj_return,V0 现行(对照),V1 优先级修正,V2 分位数交集,V3 综合分末十分位,V4 剔风险转化后末十分位
519773,-0.1017731099581242,0.0198844862273969,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
530019,-0.2711733864470242,0.0068101994624386,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
570001,-0.0925802827950501,0.028730634835778,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
570008,-0.0785041892270728,0.0301928039782197,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
580001,-0.0521755670389383,0.0401442996698237,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
580002,-0.2597527788610965,0.0008387809226583,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
580006,0.2623630548743116,0.0164518180211361,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型
610006,-0.0582989872168486,0.0023593446636821,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
630001,-0.6888821524756965,-0.0110441703170539,均衡型(其他),均衡型(其他),高换手噪声型(输家),高换手噪声型(输家),高换手噪声型(输家)
630002,0.1115560180831771,0.0325467572862088,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
630010,-0.3524094334062806,0.0239497496347897,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
630011,-0.3019543362002685,0.0193038445774016,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
660005,-0.3189375829385213,0.0117034284132716,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
660015,0.0761925361667199,0.0272684195788728,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型
720001,-0.1435973676701093,0.0305620826586674,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
740001,-0.3287396068338815,0.021377050436207,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
952004,-0.3028424472752133,0.0051335458709199,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
959991,-0.2899888010733619,0.0050203126537921,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
