fund_code,认知能力,配置选择能力,风险应对能力,风险转化能力,交易执行能力,综合能力,ff5_alpha,quarter_return
6976,-0.6206088075796937,-0.5442722804290011,-0.8850532269316924,0.33013371946902187,-0.011941777062084907,-0.34634847450669,0.0030471789401624,0.06876852844367955
7049,-0.21557066209350642,-1.1497349373436694,-0.6192249632592943,0.2055272229622481,-0.20455984159791163,-0.3967126362664268,0.0104020065265001,0.048368123470859364
7113,-0.3516356174488837,-0.4939677424207891,-0.21721749833603038,-0.4589887383415568,-0.45698955907394134,-0.39575983112424024,-0.007358893081740899,0.06680192720285379
7114,-0.3220514983683542,-0.49917038249628276,-0.20813854690971115,-0.47990099838389266,-0.42533573748449993,-0.3869194327285482,-0.0079559135186638,0.06626934098894986
7305,0.48948464507199113,0.4128194125047179,0.6395738462640845,0.43400706486455326,0.4125369570978109,0.47768438516063155,0.0122866362965343,0.0704242329391896
7340,0.12179627185796031,0.3718741358199105,0.25014414209639335,-0.12460338466242565,-0.2275049221450063,0.07834124859336647,0.0239576516023514,0.060460754753881435
7341,0.12166849232845293,0.3807109408117469,0.2549088180364192,-0.1971547008088198,-0.2262476713139747,0.0667771758107649,0.0219031045523169,0.05825087110845105
7343,-0.3659845080314752,0.2621418787406101,-0.21844247736840688,0.5309129541443031,-0.44886032588220975,-0.04804649567943573,0.0364658813893364,0.09090372302871412
7346,-0.06032296887884197,0.09946252750938717,0.3201747630334327,0.22650487866245364,-0.4129727653079889,0.03456928700368853,0.0560373816486776,0.08767616704854833
7349,-0.1176608468432674,0.2610738295701728,-0.0795215152527593,-0.4665565994353023,0.39368865011234894,-0.0017952963697614565,-0.0033993739330328,0.06941220084433786
7350,-0.25448191208821447,0.4001844260915837,-0.5440375138753268,-1.3497825280775642,0.39442939965340884,-0.27073762565922255,-0.0165622978751739,0.051390660426074264
7353,-0.31593458726328955,-0.3391069527838858,-0.40924431751861656,-1.1632013526584106,-0.5386762794212013,-0.5532326979290808,-0.0185234001310069,0.03679132519621377
7449,-0.2789037573036768,-0.24208438202093244,-0.7934562365013785,0.454194458229223,0.2131598391018999,-0.12941801569897296,0.0106113842612039,0.04994198845379079
7450,-0.4422412761340458,-0.24860366837077194,-0.7707733927177174,0.3902986203054713,0.34777778962313527,-0.1447083854587857,0.0091784177910204,0.04841798086874172
7490,-0.07758306811516003,1.4466167356401929,-0.536642217743928,-0.3315871788929444,-0.5337940100655183,-0.006597947835471541,0.0074374515095833,0.08592347680245015
7491,-0.0780800951065425,1.5141718265106299,-0.5084759569287258,-0.3513239439983446,-0.501529904852988,0.014952385124805767,0.0053984948993299,0.08363795763782551
7639,-0.41954986817234285,-0.6431292907496757,-0.5083947415599002,-0.13296983955611616,0.21815136530373785,-0.2971784749468594,-0.009249383909816,0.060435235119001736
