fund_code,report_date,TO_wind,TO_wind_clean
2692,2018-07-01,602.755723276553,602.755723276553
2692,2018-10-01,602.755723276553,602.755723276553
2692,2019-01-01,288.994840813964,288.994840813964
2692,2019-04-01,288.994840813964,288.994840813964
2692,2019-07-01,314.502059287033,314.502059287033
2692,2019-10-01,314.502059287033,314.502059287033
2692,2020-01-01,263.898300931898,263.898300931898
2692,2020-04-01,263.898300931898,263.898300931898
2692,2020-07-01,188.544527973694,188.544527973694
2692,2020-10-01,188.544527973694,188.544527973694
2692,2021-01-01,225.258032679535,225.258032679535
2692,2021-04-01,225.258032679535,225.258032679535
2692,2021-07-01,309.710489652201,309.710489652201
2692,2021-10-01,309.710489652201,309.710489652201
2692,2022-01-01,121.599766651336,121.599766651336
2692,2022-04-01,121.599766651336,121.599766651336
2692,2022-07-01,414.352095831944,414.352095831944
2692,2022-10-01,414.352095831944,414.352095831944
2692,2023-01-01,233.830509448954,233.830509448954
2692,2023-04-01,233.830509448954,233.830509448954
2692,2023-07-01,117.349361704862,117.349361704862
2692,2023-10-01,117.349361704862,117.349361704862
2692,2024-01-01,169.334691449788,169.334691449788
2692,2024-04-01,169.334691449788,169.334691449788
2692,2024-07-01,283.082844872813,283.082844872813
2692,2024-10-01,283.082844872813,283.082844872813
2692,2025-01-01,183.86794324079,183.86794324079
2692,2025-04-01,183.86794324079,183.86794324079
2692,2025-07-01,177.185259156189,177.185259156189
2692,2025-10-01,177.185259156189,177.185259156189
2910,2017-01-01,743.120988368179,743.120988368179
2910,2017-04-01,743.120988368179,743.120988368179
2910,2017-07-01,811.698263477731,811.698263477731
2910,2017-10-01,811.698263477731,811.698263477731
2910,2018-01-01,671.753499827044,671.753499827044
2910,2018-04-01,671.753499827044,671.753499827044
2910,2018-07-01,474.82158825322,474.82158825322
2910,2018-10-01,474.82158825322,474.82158825322
2910,2019-01-01,296.1487495229,296.1487495229
2910,2019-04-01,296.1487495229,296.1487495229
2910,2019-07-01,124.574099391817,124.574099391817
2910,2019-10-01,124.574099391817,124.574099391817
2910,2020-01-01,141.659111784593,141.659111784593
2910,2020-04-01,141.659111784593,141.659111784593
2910,2020-07-01,180.620809330015,180.620809330015
2910,2020-10-01,180.620809330015,180.620809330015
2910,2021-01-01,154.437210758105,154.437210758105
2910,2021-04-01,154.437210758105,154.437210758105
2910,2021-07-01,247.879362325286,247.879362325286
2910,2021-10-01,247.879362325286,247.879362325286
2910,2022-01-01,146.952937820306,146.952937820306
2910,2022-04-01,146.952937820306,146.952937820306
2910,2022-07-01,120.18737107803,120.18737107803
2910,2022-10-01,120.18737107803,120.18737107803
2910,2023-01-01,69.1884108311997,69.1884108311997
2910,2023-04-01,69.1884108311997,69.1884108311997
2910,2023-07-01,40.5341026711577,40.5341026711577
2910,2023-10-01,40.5341026711577,40.5341026711577
2910,2024-01-01,80.1375552250835,80.1375552250835
2910,2024-04-01,80.1375552250835,80.1375552250835
2910,2024-07-01,255.690959957433,255.690959957433
2910,2024-10-01,255.690959957433,255.690959957433
2910,2025-01-01,246.614295826453,246.614295826453
2910,2025-04-01,246.614295826453,246.614295826453
2910,2025-07-01,450.30518760371,450.30518760371
2910,2025-10-01,450.30518760371,450.30518760371
3567,2017-07-01,481.840068203396,481.840068203396
