date,nav,daily_return,fund_code
2020-10-14,3.288,-1.79,161810
2020-10-15,3.254,-1.03,161810
2020-10-16,3.242,-0.37,161810
2020-10-19,3.228,-0.43,161810
2020-10-20,3.227,-0.03,161810
2020-10-21,3.204,-0.71,161810
2020-10-22,3.155,-1.53,161810
2020-10-23,3.082,-2.31,161810
2020-10-26,3.083,0.03,161810
2020-10-27,3.14,1.85,161810
2020-10-28,3.124,-0.51,161810
2020-10-29,3.125,0.03,161810
2020-10-30,3.053,-2.3,161810
2020-11-02,3.082,0.95,161810
2020-11-03,3.144,2.01,161810
2020-11-04,3.128,-0.51,161810
2020-11-05,3.143,0.48,161810
2020-11-06,3.123,-0.64,161810
2020-11-09,3.18,1.83,161810
2020-11-10,3.117,-1.98,161810
2020-11-11,3.068,-1.57,161810
2020-11-12,3.054,-0.46,161810
2020-11-13,3.061,0.23,161810
2020-11-16,3.132,2.32,161810
2020-11-17,3.115,-0.54,161810
2020-11-18,3.122,0.22,161810
2020-11-19,3.165,1.38,161810
2020-11-20,3.169,0.13,161810
2020-11-23,3.176,0.22,161810
2020-11-24,3.173,-0.09,161810
2020-11-25,3.104,-2.17,161810
2020-11-26,3.122,0.58,161810
2020-11-27,3.157,1.12,161810
2020-11-30,3.175,0.57,161810
2020-12-01,3.203,0.88,161810
2020-12-02,3.217,0.44,161810
2020-12-03,3.262,1.4,161810
2020-12-04,3.277,0.46,161810
2020-12-07,3.301,0.73,161810
2020-12-08,3.28,-0.64,161810
2020-12-09,3.227,-1.62,161810
2020-12-10,3.206,-0.65,161810
2020-12-11,3.167,-1.22,161810
2020-12-14,3.24,2.31,161810
2020-12-15,3.234,-0.19,161810
2020-12-16,3.212,-0.68,161810
2020-12-17,3.244,1.0,161810
2020-12-18,3.229,-0.46,161810
2020-12-21,3.31,2.51,161810
2020-12-22,3.214,-2.9,161810
2020-12-23,3.254,1.24,161810
2020-12-24,3.217,-1.14,161810
2020-12-25,3.234,0.53,161810
2020-12-28,3.275,1.27,161810
2020-12-29,3.242,-1.01,161810
2020-12-30,3.258,0.49,161810
2020-12-31,3.304,1.41,161810
2021-01-04,3.445,4.27,161810
2021-01-05,3.503,1.68,161810
2021-01-06,3.513,0.29,161810
2021-01-07,3.526,0.37,161810
2021-01-08,3.473,-1.5,161810
2021-01-11,3.44,-0.95,161810
2021-01-12,3.497,1.66,161810
2021-01-13,3.47,-0.77,161810
2021-01-14,3.379,-2.62,161810
2021-01-15,3.345,-1.01,161810
2021-01-18,3.447,3.05,161810
2021-01-19,3.369,-2.26,161810
2021-01-20,3.419,1.48,161810
2021-01-21,3.479,1.75,161810
2021-01-22,3.49,0.32,161810
2021-01-25,3.504,0.4,161810
2021-01-26,3.466,-1.08,161810
2021-01-27,3.44,-0.75,161810
2021-01-28,3.348,-2.67,161810
2021-01-29,3.289,-1.76,161810
2021-02-01,3.29,0.03,161810
2021-02-02,3.293,0.09,161810
2021-02-03,3.297,0.12,161810
2021-02-04,3.193,-3.15,161810
2021-02-05,3.16,-1.03,161810
2021-02-08,3.188,0.89,161810
2021-02-09,3.26,2.26,161810
2021-02-10,3.274,0.43,161810
2021-02-18,3.33,1.71,161810
2021-02-19,3.483,4.59,161810
2021-02-22,3.507,0.69,161810
2021-02-23,3.395,-3.19,161810
2021-02-24,3.359,-1.06,161810
2021-02-25,3.326,-0.98,161810
2021-02-26,3.253,-2.19,161810
2021-03-01,3.312,1.81,161810
2021-03-02,3.273,-1.18,161810
2021-03-03,3.284,0.34,161810
2021-03-04,3.165,-3.62,161810
2021-03-05,3.171,0.19,161810
2021-03-08,3.036,-4.26,161810
2021-03-09,2.932,-3.43,161810
2021-03-10,2.916,-0.55,161810
2021-03-11,2.958,1.44,161810
2021-03-12,2.957,-0.03,161810
2021-03-15,2.886,-2.4,161810
2021-03-16,2.901,0.52,161810
2021-03-17,2.954,1.83,161810
2021-03-18,2.949,-0.17,161810
2021-03-19,2.917,-1.09,161810
2021-03-22,2.942,0.86,161810
2021-03-23,2.907,-1.19,161810
2021-03-24,2.891,-0.55,161810
2021-03-25,2.915,0.83,161810
2021-03-26,2.949,1.17,161810
2021-03-29,2.915,-1.15,161810
2021-03-30,2.919,0.14,161810
2021-03-31,2.896,-0.79,161810
2021-04-01,2.904,0.28,161810
2021-04-02,2.941,1.27,161810
2021-04-06,2.928,-0.44,161810
