fund_code,year,quarter,industry_hhi,hhi_normalized,ICI,ICI_normalized,industry_count,industry_max_pct,total_weight_pct
308,2021,2,0.02883,0.037118,0.106251,0.1368,20,28.08,88.13
308,2021,3,0.01451,0.115009,0.021342,0.169157,7,12.35,35.52
308,2021,4,0.023876,0.030692,0.045251,0.058169,23,16.24,88.2
308,2022,1,0.023546,0.110844,0.019119,0.090003,9,7.52,46.09
308,2022,2,0.027424,0.040557,0.04578,0.067704,19,12.3,82.23
308,2022,3,0.019791,0.124376,0.034724,0.218221,7,17.58,39.89
308,2022,4,0.021281,0.029159,0.039383,0.053962,17,11.68,85.43
308,2023,1,0.022579,0.10501,0.020897,0.097186,10,8.52,46.37
308,2023,2,0.027256,0.035894,0.038628,0.050871,17,10.99,87.14
308,2023,3,0.024769,0.110852,0.039934,0.178718,6,15.12,47.27
308,2023,4,0.029912,0.040803,0.053366,0.072797,18,16.63,85.62
308,2024,1,0.029331,0.115607,0.031171,0.122858,8,11.27,50.37
308,2024,2,0.034239,0.044476,0.072641,0.09436,15,20.49,87.74
308,2024,3,0.02536,0.106317,0.042028,0.176195,6,13.7,48.84
308,2024,4,0.030453,0.036774,0.166801,0.201426,12,35.26,91.0
308,2025,1,0.018995,0.107376,0.024377,0.137797,7,10.84,42.06
308,2025,2,0.025745,0.039181,0.053484,0.081397,16,18.19,81.06
308,2025,3,0.025418,0.11955,0.03604,0.169512,6,11.89,46.11
308,2025,4,0.038952,0.044149,0.132407,0.150073,12,30.21,93.93
308,2026,1,0.01897,0.111977,0.046927,0.276998,4,18.38,41.16
308,2026,2,0.030984,0.113624,0.090327,0.33124,3,24.29,52.22
327,2018,2,0.000261,0.050374,0.000518,0.099914,15,1.73,7.2
327,2018,4,0.006308,0.017359,0.012939,0.035609,26,7.11,60.28
327,2019,2,0.018312,0.032287,0.020963,0.036962,23,10.27,75.31
327,2019,4,0.016753,0.0265,0.026762,0.042332,23,13.56,79.51
327,2020,1,0.008354,0.114509,0.012132,0.166302,6,8.63,27.01
327,2020,2,0.013133,0.017659,0.035647,0.04793,24,14.61,86.24
327,2020,3,0.004489,0.11234,0.008436,0.211119,5,7.35,19.99
327,2020,4,0.012309,0.016823,0.028348,0.038742,26,11.37,85.54
327,2021,1,0.006514,0.118146,0.008524,0.154609,7,7.59,23.48
327,2021,2,0.012084,0.015435,0.040207,0.051359,28,14.09,88.48
327,2021,3,0.005471,0.107219,0.006367,0.124775,7,4.42,22.59
327,2021,4,0.011808,0.014469,0.046194,0.056601,29,18.21,90.34
327,2022,1,0.027216,0.105463,0.22097,0.85626,2,47.79,50.8
327,2022,2,0.018229,0.021273,0.282257,0.329385,14,53.16,92.57
327,2022,3,0.015974,0.08125,0.154433,0.785503,3,39.93,44.34
327,2022,4,0.030676,0.036568,0.322932,0.384959,15,56.08,91.59
327,2023,1,0.013009,0.088036,0.066091,0.447275,7,25.08,38.44
327,2023,2,0.021448,0.025029,0.147993,0.172703,22,36.26,92.57
327,2023,3,0.016653,0.122105,0.048036,0.352218,5,21.29,36.93
327,2023,4,0.024517,0.027512,0.103927,0.116623,21,24.81,94.4
327,2024,1,0.018051,0.103113,0.058883,0.336362,6,20.98,41.84
327,2024,2,0.02666,0.031594,0.13463,0.159548,20,30.22,91.86
327,2024,3,0.019143,0.116251,0.056909,0.345584,4,22.59,40.58
327,2024,4,0.03104,0.035773,0.153744,0.177187,14,33.38,93.15
327,2025,1,0.017078,0.110745,0.051127,0.331535,4,20.03,39.27
327,2025,2,0.02523,0.029763,0.172463,0.20345,15,34.88,92.07
327,2025,3,0.018048,0.114628,0.050369,0.319901,4,20.47,39.68
327,2025,4,0.027649,0.033915,0.091392,0.112105,17,25.13,90.29
327,2026,1,0.02538,0.113535,0.061403,0.274684,5,17.92,47.28
327,2026,2,0.022576,0.109965,0.079327,0.386397,3,25.16,45.31
354,2018,2,0.023592,0.049026,0.04078,0.084744,13,13.57,69.37
354,2018,4,0.027702,0.074398,0.053061,0.142504,9,16.86,61.02
354,2019,2,0.029314,0.043564,0.065914,0.097957,18,17.68,82.03
354,2019,4,0.049826,0.058284,0.157384,0.184099,14,37.82,92.46
354,2020,1,0.028134,0.105093,0.076824,0.286973,4,22.6,51.74
354,2020,2,0.046293,0.056026,0.13548,0.163964,13,32.81,90.9
354,2020,3,0.048502,0.106073,0.078109,0.170824,6,21.21,67.62
354,2020,4,0.058349,0.064734,0.389688,0.432333,13,62.92,94.94
354,2021,1,0.034003,0.114059,0.238187,0.798974,2,49.52,54.6
354,2021,2,0.049332,0.061641,0.690918,0.863314,6,84.52,89.46
354,2021,3,0.039708,0.1064,0.168037,0.450262,4,40.55,61.09
354,2021,4,0.039771,0.07885,0.185335,0.367448,8,43.39,71.02
354,2022,1,0.037267,0.105692,0.051552,0.146205,7,17.77,59.38
354,2022,2,0.047248,0.056496,0.05824,0.06964,14,19.14,91.45
354,2022,3,0.036286,0.104239,0.037532,0.107821,8,11.89,59.0
354,2022,4,0.044385,0.060292,0.081369,0.110532,12,25.04,85.8
354,2023,1,0.034264,0.105387,0.173084,0.532356,3,41.18,57.02
354,2023,2,0.053843,0.061814,0.164181,0.188487,6,27.99,93.33
354,2023,3,0.029813,0.10891,0.119514,0.436598,4,33.68,52.32
354,2023,4,0.037262,0.063027,0.143035,0.241937,9,35.75,76.89
354,2024,1,0.045388,0.107097,0.129697,0.306032,4,30.77,65.1
354,2024,2,0.063279,0.070844,0.319113,0.357263,6,43.25,94.51
354,2024,3,0.051688,0.109007,0.193488,0.408056,3,34.89,68.86
354,2024,4,0.059434,0.069074,0.227294,0.26416,11,42.34,92.76
354,2025,1,0.034642,0.104162,0.06575,0.197695,6,21.51,57.67
354,2025,2,0.051677,0.057684,0.322401,0.359877,12,45.4,94.65
354,2025,3,0.044065,0.105039,0.128132,0.305429,4,28.89,64.77
354,2025,4,0.057016,0.066464,0.307925,0.358951,14,46.27,92.62
354,2026,1,0.0491,0.107669,0.140179,0.307391,4,31.95,67.53
354,2026,2,0.039076,0.108544,0.192757,0.535437,3,43.62,60.0
390,2014,1,0.004498,0.118896,0.004788,0.126564,9,5.53,19.45
390,2014,2,0.002161,0.054957,0.005734,0.145806,13,5.77,19.83
390,2014,3,0.003247,0.096855,0.007931,0.236577,6,7.59,18.31
390,2014,4,0.009034,0.066277,0.038196,0.280216,11,19.45,36.92
390,2015,1,0.016213,0.084395,0.056369,0.293428,6,22.93,43.83
390,2015,2,0.020784,0.039804,0.068658,0.131491,19,20.56,72.26
390,2015,3,0.004184,0.101742,0.01473,0.358148,5,11.96,20.28
390,2015,4,0.003,0.059783,0.010123,0.201752,16,8.81,22.4
390,2016,1,0.00306,0.102233,0.004368,0.145942,7,5.0,17.3
390,2016,2,0.004714,0.049562,0.007306,0.076819,18,6.14,30.84
390,2016,3,0.012674,0.102175,0.020367,0.16419,7,11.47,35.22
