fund_code,report_date,stock_code,stock_name,hold_ratio,hold_shares,hold_value,year,quarter
320005,2020-12-31,3030,祖名股份,0.00,0.05,0.73,2020,4
320005,2020-12-31,3031,中瓷电子,0.00,0.04,0.59,2020,4
320005,2020-12-31,568,泸州老窖,9.90,66.44,"15,025.05",2020,4
320005,2020-12-31,600110,诺德股份,1.03,168.39,"1,557.61",2020,4
320005,2020-12-31,600132,重庆啤酒,0.43,5.44,647.54,2020,4
320005,2020-12-31,600380,健康元,0.26,28.01,389.56,2020,4
320005,2020-12-31,600438,通威股份,0.63,24.78,952.54,2020,4
320005,2020-12-31,600456,宝钛股份,2.60,75.74,"3,945.30",2020,4
320005,2020-12-31,600519,贵州茅台,7.62,5.79,"11,568.42",2020,4
320005,2020-12-31,600809,山西汾酒,9.99,40.40,"15,162.05",2020,4
320005,2020-12-31,601058,赛轮轮胎,3.25,817.87,"4,939.96",2020,4
320005,2020-12-31,601872,招商轮船,0.66,186.57,994.40,2020,4
320005,2020-12-31,601888,中国中免,0.29,1.56,440.62,2020,4
320005,2020-12-31,601995,中金公司,0.11,2.50,171.44,2020,4
320005,2020-12-31,603113,金能科技,0.36,33.59,549.18,2020,4
320005,2020-12-31,603187,海容冷链,0.15,3.69,221.40,2020,4
320005,2020-12-31,603233,大参林,0.48,9.38,735.24,2020,4
320005,2020-12-31,603236,移远通信,0.44,3.56,666.25,2020,4
320005,2020-12-31,603259,药明康德,0.52,5.86,789.46,2020,4
320005,2020-12-31,603313,梦百合,0.31,14.38,466.17,2020,4
