date,open,high,low,close,volume,index_code,index_name
2012-06-08,4564.872,4568.498,4503.311,4509.492,1641978752,sz399005,中小板指
2012-06-11,4511.674,4590.579,4501.559,4588.099,1654438016,sz399005,中小板指
2012-06-12,4570.185,4609.198,4556.766,4585.558,1642478080,sz399005,中小板指
2012-06-13,4591.568,4667.738,4587.138,4667.655,2031559168,sz399005,中小板指
2012-06-14,4662.084,4687.7,4635.264,4637.416,1998872832,sz399005,中小板指
2012-06-15,4644.062,4665.527,4574.944,4634.758,1855090560,sz399005,中小板指
2012-06-18,4645.0,4692.372,4640.012,4671.338,1936216448,sz399005,中小板指
2012-06-19,4668.867,4677.73,4635.284,4644.274,2027117696,sz399005,中小板指
2012-06-20,4652.335,4665.124,4622.272,4633.906,1909469696,sz399005,中小板指
2012-06-21,4620.223,4620.223,4536.111,4559.592,1824976256,sz399005,中小板指
2012-06-25,4542.586,4549.759,4470.002,4472.303,1728165504,sz399005,中小板指
2012-06-26,4451.922,4480.512,4416.417,4460.521,1585122816,sz399005,中小板指
2012-06-27,4457.336,4523.348,4452.945,4469.277,1721976192,sz399005,中小板指
2012-06-28,4476.085,4492.566,4423.041,4423.041,1715732608,sz399005,中小板指
2012-06-29,4405.835,4477.788,4393.365,4477.788,1747473792,sz399005,中小板指
2012-07-02,4498.632,4559.81,4479.188,4550.053,1956058752,sz399005,中小板指
2012-07-03,4550.237,4601.449,4542.801,4571.786,2153753600,sz399005,中小板指
2012-07-04,4579.264,4587.621,4525.642,4537.257,1904717440,sz399005,中小板指
2012-07-05,4517.514,4517.514,4444.499,4463.652,1779437184,sz399005,中小板指
2012-07-06,4478.671,4568.753,4453.544,4568.338,2090895488,sz399005,中小板指
2012-07-09,4549.596,4592.934,4504.542,4506.735,2126371200,sz399005,中小板指
2012-07-10,4493.247,4515.571,4462.431,4470.708,1657134592,sz399005,中小板指
2012-07-11,4464.464,4506.562,4442.602,4501.31,1506451584,sz399005,中小板指
2012-07-12,4488.704,4573.246,4473.837,4561.268,2108623744,sz399005,中小板指
2012-07-13,4555.103,4582.966,4522.833,4541.213,1868725376,sz399005,中小板指
2012-07-16,4527.394,4527.394,4374.514,4374.69,2297172224,sz399005,中小板指
2012-07-17,4360.026,4389.549,4335.413,4383.224,1683430272,sz399005,中小板指
2012-07-18,4378.282,4389.309,4298.599,4379.149,1788303104,sz399005,中小板指
2012-07-19,4375.56,4438.724,4363.798,4408.768,2160554752,sz399005,中小板指
2012-07-20,4395.731,4414.193,4345.919,4355.22,1896905088,sz399005,中小板指
2012-07-23,4332.01,4341.385,4293.461,4314.783,1633359744,sz399005,中小板指
2012-07-24,4294.079,4379.904,4288.454,4366.42,1578914304,sz399005,中小板指
2012-07-25,4356.131,4382.478,4344.078,4350.35,1663874048,sz399005,中小板指
2012-07-26,4348.392,4371.232,4315.361,4318.088,1702627712,sz399005,中小板指
2012-07-27,4324.056,4339.621,4274.039,4289.397,1481553792,sz399005,中小板指
2012-07-30,4282.91,4311.076,4213.063,4223.539,1471750912,sz399005,中小板指
2012-07-31,4219.138,4229.084,4154.507,4178.346,1539854336,sz399005,中小板指
2012-08-01,4171.635,4262.397,4170.064,4235.627,1548701312,sz399005,中小板指
2012-08-02,4229.912,4250.434,4187.217,4207.543,1530663552,sz399005,中小板指
2012-08-03,4215.872,4288.853,4202.148,4288.853,1782369408,sz399005,中小板指
2012-08-06,4277.603,4390.227,4271.841,4389.928,2220432896,sz399005,中小板指
2012-08-07,4389.503,4436.814,4384.892,4436.814,2410593024,sz399005,中小板指
2012-08-08,4435.75,4443.625,4392.134,4415.057,2271305728,sz399005,中小板指
2012-08-09,4409.201,4493.912,4398.833,4493.461,2414056704,sz399005,中小板指
2012-08-10,4487.611,4499.425,4466.191,4484.796,2291137536,sz399005,中小板指
2012-08-13,4478.07,4478.07,4399.133,4400.036,2112511232,sz399005,中小板指
2012-08-14,4395.984,4405.661,4292.681,4386.773,2330435328,sz399005,中小板指
2012-08-15,4371.159,4411.024,4347.497,4391.307,2138128768,sz399005,中小板指
2012-08-16,4366.689,4378.347,4333.158,4341.416,1816430208,sz399005,中小板指
2012-08-17,4334.649,4340.702,4277.825,4313.291,1600030592,sz399005,中小板指
2012-08-20,4285.342,4329.082,4260.294,4323.201,1634106368,sz399005,中小板指
2012-08-21,4323.572,4402.236,4312.327,4379.267,2351750656,sz399005,中小板指
2012-08-22,4382.296,4394.636,4321.817,4339.826,2115574912,sz399005,中小板指
2012-08-23,4339.318,4360.746,4288.342,4346.282,2300277760,sz399005,中小板指
2012-08-24,4336.805,4341.841,4271.981,4278.333,2175727616,sz399005,中小板指
2012-08-27,4261.94,4261.94,4195.524,4200.152,1869188096,sz399005,中小板指
2012-08-28,4184.462,4238.471,4178.066,4213.317,1730178688,sz399005,中小板指
2012-08-29,4200.744,4256.458,4185.85,4205.267,1858792192,sz399005,中小板指
2012-08-30,4196.881,4223.123,4068.757,4123.26,2259982592,sz399005,中小板指
2012-08-31,4109.505,4147.89,4105.419,4137.804,1584325504,sz399005,中小板指
2012-09-03,4138.278,4238.373,4130.436,4231.87,2021455744,sz399005,中小板指
2012-09-04,4232.511,4257.873,4190.511,4196.081,2115625344,sz399005,中小板指
2012-09-05,4181.72,4235.865,4173.707,4222.161,2120465024,sz399005,中小板指
2012-09-06,4225.273,4271.565,4225.273,4271.565,2273032704,sz399005,中小板指
2012-09-07,4298.416,4469.398,4298.416,4421.368,4135593472,sz399005,中小板指
2012-09-10,4437.928,4460.83,4416.442,4449.458,3610302720,sz399005,中小板指
2012-09-11,4431.665,4442.381,4401.689,4442.381,3007249920,sz399005,中小板指
2012-09-12,4459.912,4481.207,4416.595,4461.018,2838680320,sz399005,中小板指
2012-09-13,4459.568,4471.516,4397.667,4399.95,2696602624,sz399005,中小板指
2012-09-14,4432.729,4447.519,4365.878,4401.454,2662930432,sz399005,中小板指
2012-09-17,4392.202,4399.697,4296.959,4296.959,2260358656,sz399005,中小板指
2012-09-18,4276.149,4307.381,4253.043,4271.308,1729674368,sz399005,中小板指
2012-09-19,4276.222,4312.087,4264.315,4306.742,1723745536,sz399005,中小板指
2012-09-20,4293.423,4293.423,4181.406,4188.482,2214470656,sz399005,中小板指
2012-09-21,4173.027,4193.813,4130.579,4136.485,1918822528,sz399005,中小板指
2012-09-24,4114.507,4195.241,4087.343,4171.466,1578510976,sz399005,中小板指
2012-09-25,4164.241,4197.042,4141.563,4150.434,1490551168,sz399005,中小板指
2012-09-26,4148.623,4165.476,4050.079,4057.747,1581281664,sz399005,中小板指
2012-09-27,4054.613,4193.819,4053.577,4163.022,1879766016,sz399005,中小板指
2012-09-28,4140.856,4266.895,4139.51,4264.831,1912728576,sz399005,中小板指
2012-10-08,4267.99,4290.098,4206.244,4228.8,1504015360,sz399005,中小板指
2012-10-09,4239.851,4343.232,4239.851,4341.772,2398920192,sz399005,中小板指
2012-10-10,4337.599,4396.542,4322.889,4393.561,2668230400,sz399005,中小板指
2012-10-11,4378.761,4390.645,4335.14,4336.518,2685429760,sz399005,中小板指
2012-10-12,4347.7,4387.638,4276.853,4310.056,2178867712,sz399005,中小板指
2012-10-15,4309.513,4312.9,4233.097,4273.728,1908669952,sz399005,中小板指
2012-10-16,4268.256,4318.847,4254.761,4290.565,1801887104,sz399005,中小板指
2012-10-17,4304.181,4315.579,4255.951,4299.493,1832642816,sz399005,中小板指
2012-10-18,4306.991,4377.724,4306.573,4373.299,2439802880,sz399005,中小板指
2012-10-19,4377.239,4390.405,4350.027,4361.851,2016641920,sz399005,中小板指
2012-10-22,4345.91,4383.591,4335.558,4374.693,2048121344,sz399005,中小板指
2012-10-23,4373.294,4373.895,4306.44,4312.643,2181511168,sz399005,中小板指
2012-10-24,4289.895,4308.817,4268.582,4278.623,2003856256,sz399005,中小板指
2012-10-25,4278.03,4301.665,4234.854,4244.323,2170009344,sz399005,中小板指
2012-10-26,4236.473,4241.816,4123.469,4161.006,2036632576,sz399005,中小板指
2012-10-29,4146.789,4185.976,4134.384,4172.109,1567492224,sz399005,中小板指
2012-10-30,4164.518,4208.883,4154.018,4159.568,1582869248,sz399005,中小板指
2012-10-31,4154.193,4181.712,4149.604,4177.878,1559164928,sz399005,中小板指
2012-11-01,4180.377,4253.365,4180.377,4247.093,2156561408,sz399005,中小板指
2012-11-02,4243.975,4253.806,4209.196,4237.021,1885176448,sz399005,中小板指
2012-11-05,4224.591,4252.823,4192.308,4202.155,1823650688,sz399005,中小板指
2012-11-06,4196.825,4202.93,4125.09,4176.904,1887903104,sz399005,中小板指
2012-11-07,4176.934,4195.721,4158.227,4175.032,1659148544,sz399005,中小板指
2012-11-08,4142.655,4144.781,4074.023,4074.996,1891178368,sz399005,中小板指
2012-11-09,4069.672,4084.295,4043.305,4054.247,1480230016,sz399005,中小板指
2012-11-12,4058.533,4082.256,4025.267,4053.506,1397126656,sz399005,中小板指
2012-11-13,4050.763,4050.763,3964.731,3973.287,1739859456,sz399005,中小板指
2012-11-14,3972.963,3990.008,3939.959,3980.011,1500211968,sz399005,中小板指
2012-11-15,3961.368,3984.827,3926.709,3929.185,1555547264,sz399005,中小板指
2012-11-16,3919.733,3921.758,3872.949,3906.703,1336297216,sz399005,中小板指
2012-11-19,3902.373,3902.373,3842.397,3900.331,1252041728,sz399005,中小板指
2012-11-20,3908.113,3924.848,3888.338,3891.32,1296529024,sz399005,中小板指
2012-11-21,3889.119,3922.735,3841.015,3922.735,1597392128,sz399005,中小板指
2012-11-22,3900.87,3904.512,3860.366,3871.149,1371856256,sz399005,中小板指
2012-11-23,3876.257,3900.964,3865.584,3878.378,1233397248,sz399005,中小板指
2012-11-26,3871.451,3877.641,3811.437,3817.888,1263461248,sz399005,中小板指
2012-11-27,3799.823,3799.823,3716.223,3723.588,1695593216,sz399005,中小板指
