fund_code,year,quarter,report_date,AS_improved,ICI,industry_hhi,ICI_raw,industry_hhi_raw,ISDI
308,2024,1,2024-04-01,0.7304096426607111,0.122858,0.115607,0.031171,0.029331,0.386772084194341
308,2024,2,2024-07-01,0.8802423590393171,0.09436,0.044476,0.072641,0.034239,0.0414916397776581
308,2024,3,2024-10-01,0.7174595543259054,0.176195,0.106317,0.042028,0.02536,0.3075046574020815
308,2024,4,2025-01-01,0.8826122835380588,0.201426,0.036774,0.166801,0.030453,0.6956263556263556
308,2025,1,2025-04-01,0.6832628827147118,0.137797,0.107376,0.024377,0.018995,0.2521150841550271
308,2025,2,2025-07-01,0.8349489091484855,0.081397,0.039181,0.053484,0.025745,0.2077473476437207
308,2025,3,2025-10-01,0.7020195244920748,0.169512,0.11955,0.03604,0.025418,0.2894067400052749
308,2025,4,2026-01-01,0.8956254329238819,0.150073,0.044149,0.132407,0.038952,0.1256695191209888
308,2026,1,2026-04-01,0.6802862414373573,0.276998,0.111977,0.046927,0.01897,0.3306657243359998
308,2026,2,2026-07-01,0.725436072267871,0.33124,0.113624,0.090327,0.030984,0.5942662779397473
327,2020,1,2020-04-01,0.6453598909981832,0.166302,0.114509,0.012132,0.008354,0.5662180857753742
327,2020,2,2020-07-01,0.8930892231537192,0.04793,0.017659,0.035647,0.013133,0.7421150278293136
327,2020,3,2020-10-01,0.6069032750545842,0.211119,0.11234,0.008436,0.004489,0.7421150278293136
327,2020,4,2021-01-01,0.9019157744295738,0.038742,0.016823,0.028348,0.012309,0.790974982464344
327,2021,1,2021-04-01,0.6245332297204953,0.154609,0.118146,0.008524,0.006514,0.1218416401822832
327,2021,2,2021-07-01,0.8566619093651562,0.051359,0.015435,0.040207,0.012084,0.1213960709895844
327,2021,3,2021-10-01,0.606559893498225,0.124775,0.107219,0.006367,0.005471,0.2374384319263033
327,2021,4,2022-01-01,0.8685786263104385,0.056601,0.014469,0.046194,0.011808,0.3614299351924456
327,2022,1,2022-04-01,0.7361863697728295,0.85626,0.105463,0.22097,0.027216,1.0595528005313262
327,2022,2,2022-07-01,0.925819382823047,0.329385,0.021273,0.282257,0.018229,0.328616182348493
327,2022,3,2022-10-01,0.7030296888281471,0.785503,0.08125,0.154433,0.015974,0.2898250231243162
327,2022,4,2023-01-01,0.9246727103785064,0.384959,0.036568,0.322932,0.030676,0.3330834995813696
327,2023,1,2023-04-01,0.6611194819913665,0.447275,0.088036,0.066091,0.013009,0.2729105720319221
327,2023,2,2023-07-01,0.910259125152086,0.172703,0.025029,0.147993,0.021448,0.8966184939551891
327,2023,3,2023-10-01,0.6665063642727378,0.352218,0.122105,0.048036,0.016653,0.1770820252359283
327,2023,4,2024-01-01,0.9014988749812496,0.116623,0.027512,0.103927,0.024517,0.1912770151500548
327,2024,1,2024-04-01,0.6910296971616194,0.336362,0.103113,0.058883,0.018051,0.2142536539521016
327,2024,2,2024-07-01,0.8965556209270155,0.159548,0.031594,0.13463,0.02666,0.1778064258562889
327,2024,3,2024-10-01,0.6643093568226136,0.345584,0.116251,0.056909,0.019143,0.5644472372458701
