fund_code,n_reports,n_stocks,year_min,year_max,median_stocks_per_report,max_stocks_per_report,has_full_report,n_full_reports,in_panel,is_distressed,is_ifind_sample
013840,18,434,2022,2026,12,61,True,2,True,False,False
013841,18,429,2022,2026,12,61,True,2,True,False,False
013949,19,868,2021,2026,10,100,True,9,True,False,False
014282,19,487,2021,2026,10,68,True,4,True,False,False
014319,18,609,2022,2026,19,100,True,3,True,False,False
014320,18,571,2022,2026,10,100,True,3,True,False,False
014497,19,851,2021,2026,10,100,True,7,True,False,False
014549,19,753,2021,2026,10,100,True,8,True,False,False
014611,18,499,2022,2026,11,62,True,5,True,False,False
014612,18,504,2022,2026,12,62,True,5,True,False,False
014833,18,863,2022,2026,10,100,True,8,True,False,False
014975,17,843,2022,2026,10,100,True,8,True,False,False
014989,18,670,2022,2026,10,100,True,8,True,False,False
015389,17,723,2022,2026,10,100,True,8,True,False,False
015491,17,826,2022,2026,12,100,True,8,True,False,False
015576,17,522,2022,2026,10,100,True,3,True,False,False
015585,17,603,2022,2026,10,100,True,5,True,False,False
015967,16,309,2022,2026,13,51,True,1,True,False,False
016262,12,334,2022,2026,11,70,True,3,True,False,False
016263,16,347,2022,2026,10,52,True,1,True,False,False
016370,15,275,2022,2026,14,58,True,1,True,False,False
016371,15,278,2022,2026,13,58,True,1,True,False,False
016461,16,288,2022,2026,10,39,False,0,True,False,False
016500,15,507,2022,2026,11,100,True,3,True,False,False
016501,15,524,2022,2026,14,102,True,4,True,False,False
016579,16,266,2022,2026,10,45,False,0,True,False,False
016721,6,71,2025,2026,10,16,False,0,True,False,False
016772,14,347,2023,2026,10,52,True,3,True,False,False
016773,14,347,2023,2026,10,52,True,3,True,False,False
016780,15,512,2022,2026,10,100,True,5,True,False,False
017102,13,295,2023,2026,20,50,True,1,True,False,False
017103,13,276,2023,2026,10,50,True,1,True,False,False
017234,6,100,2025,2026,11,43,False,0,True,False,False
017612,14,370,2023,2026,10,100,True,2,True,False,False
017732,14,469,2023,2026,10,100,True,4,True,False,False
017811,14,296,2023,2026,10,65,True,2,True,False,False
017876,13,554,2023,2026,10,100,True,4,True,False,False
017927,14,468,2023,2026,10,77,True,6,True,False,False
018291,13,332,2023,2026,10,58,True,2,True,False,False
018325,12,214,2023,2026,11,36,False,0,True,False,False
018326,12,212,2023,2026,10,36,False,0,True,False,False
018358,12,308,2023,2026,10,57,True,2,True,False,False
018359,12,308,2023,2026,10,57,True,2,True,False,False
018956,12,291,2023,2026,14,63,True,3,True,False,False
018957,12,275,2023,2026,10,63,True,3,True,False,False
019018,10,460,2024,2026,10,100,True,4,True,False,False
019032,6,219,2025,2026,10,99,True,2,True,False,False
019034,10,406,2024,2026,10,100,True,4,True,False,False
019426,7,113,2024,2026,11,34,False,0,True,False,False
019427,7,113,2024,2026,11,34,False,0,True,False,False
019571,12,480,2023,2026,10,100,True,4,True,False,False
019829,9,157,2024,2026,11,36,False,0,True,False,False
019830,9,159,2024,2026,13,36,False,0,True,False,False
019925,10,258,2024,2026,10,65,True,1,True,False,False
020018,29,1077,2018,2026,11,100,True,9,True,False,False
020469,9,152,2024,2026,11,35,False,0,True,False,False
020470,9,152,2024,2026,11,35,False,0,True,False,False
021179,7,137,2024,2026,10,44,False,0,True,False,False
021180,7,137,2024,2026,10,44,False,0,True,False,False
021382,8,189,2024,2026,10,57,True,2,True,False,False
021383,8,189,2024,2026,10,57,True,2,True,False,False
021510,8,166,2024,2026,11,45,False,0,True,False,False
021511,8,166,2024,2026,11,45,False,0,True,False,False
021523,9,241,2024,2026,10,56,True,2,True,False,False
021528,9,247,2024,2026,10,58,True,2,True,False,False
021593,7,168,2024,2026,12,56,True,1,True,False,False
021594,7,165,2024,2026,10,56,True,1,True,False,False
021626,6,83,2025,2026,10,23,False,0,True,False,False
021627,6,83,2025,2026,10,23,False,0,True,False,False
021792,7,95,2024,2026,10,20,False,0,True,False,False
021793,7,95,2024,2026,10,20,False,0,True,False,False
022364,7,131,2024,2026,13,55,True,1,True,False,False
022365,7,125,2024,2026,10,55,True,1,True,False,False
022368,6,96,2025,2026,10,43,False,0,True,False,False
022709,6,129,2025,2026,10,50,True,1,True,False,False
022735,6,86,2025,2026,10,24,False,0,True,False,False
022740,7,95,2024,2026,10,24,False,0,True,False,False
023397,5,79,2025,2026,10,25,False,0,True,False,False
023398,5,79,2025,2026,10,25,False,0,True,False,False
023451,6,135,2025,2026,14,64,True,1,True,False,False
023452,6,126,2025,2026,10,64,True,1,True,False,False
024052,4,66,2025,2026,10,36,False,0,True,False,False
024053,4,66,2025,2026,10,36,False,0,True,False,False
024459,4,73,2025,2026,12,39,False,0,True,False,False
024460,4,68,2025,2026,10,38,False,0,True,False,False
024592,4,60,2025,2026,10,30,False,0,True,False,False
024593,4,60,2025,2026,10,30,False,0,True,False,False
040001,30,1369,2018,2026,29,176,True,10,True,False,False
040008,30,1091,2018,2026,27,135,True,6,True,False,False
040011,30,987,2018,2026,26,93,True,7,True,False,False
040016,30,1621,2018,2026,37,180,True,14,True,False,False
040025,30,2240,2018,2026,69,220,True,16,True,False,False
050004,30,1704,2018,2026,34,183,True,14,True,False,False
050009,30,1452,2018,2026,39,135,True,14,True,False,False
050010,30,1341,2018,2026,33,126,True,14,True,False,False
070027,30,1306,2018,2026,34,131,True,8,True,False,False
100022,30,1146,2018,2026,30,98,True,11,True,False,False
100039,30,1018,2018,2026,25,98,True,9,True,False,False
100060,30,1174,2018,2026,33,117,True,9,True,False,False
110002,30,1806,2018,2026,60,198,True,16,True,False,False
110005,28,1254,2018,2026,33,131,True,12,True,False,False
110009,30,1688,2018,2026,27,317,True,12,True,False,False
110013,30,1998,2018,2026,72,192,True,16,True,False,False
110015,30,1291,2018,2026,32,114,True,12,True,False,False
110025,30,1305,2018,2026,25,120,True,12,True,False,False
110029,30,1705,2018,2026,67,133,True,16,True,False,False
112002,76,3648,2006,2026,31,100,True,34,True,False,False
121003,30,1771,2018,2026,45,186,True,14,True,False,False
150968,30,1359,2018,2026,40,123,True,13,True,False,False
151001,30,1230,2018,2026,33,104,True,11,True,False,False
160220,50,1351,2014,2026,13,104,True,9,True,False,False
160226,42,1223,2016,2026,10,100,True,9,True,False,False
160605,30,1351,2018,2026,31,140,True,11,True,False,False
161606,30,1298,2018,2026,26,120,True,11,True,False,False
161810,30,889,2018,2026,27,73,True,6,True,False,False
161903,30,904,2018,2026,24,103,True,3,True,False,False
162006,30,1234,2018,2026,44,119,True,12,True,False,False
162201,30,1728,2018,2026,27,266,True,10,True,False,False
162204,30,1737,2018,2026,45,196,True,13,True,False,False
162209,30,1459,2018,2026,53,149,True,16,True,False,False
162214,30,869,2018,2026,15,85,True,7,True,False,False
162703,30,930,2018,2026,22,104,True,4,True,False,False
163402,30,2079,2018,2026,51,216,True,16,True,False,False
163406,30,1734,2018,2026,47,156,True,14,True,False,False
163411,30,1497,2018,2026,42,120,True,14,True,False,False
163412,30,981,2018,2026,35,92,True,5,True,False,False
166001,30,1783,2018,2026,32,180,True,12,True,False,False
166005,30,2079,2018,2026,57,209,True,16,True,False,False
168002,30,860,2018,2026,12,118,True,6,True,False,False
168401,38,686,2017,2026,10,56,True,3,True,False,False
180031,30,1161,2018,2026,38,115,True,9,True,False,False
200012,30,1388,2018,2026,45,198,True,13,True,False,False
202001,30,1678,2018,2026,50,138,True,15,True,False,False
202002,30,1711,2018,2026,53,142,True,15,True,False,False
202027,30,1459,2018,2026,54,108,True,16,True,False,False
206009,30,1340,2018,2026,25,123,True,11,True,False,False
210004,30,2493,2018,2026,26,351,True,12,True,False,False
210008,30,1205,2018,2026,19,152,True,10,True,False,False
