fund_code,year,quarter,report_date,de,pgr,plr,gains_sold,gains_held,losses_sold,losses_held,lsv,risk_asym,n_gain,n_loss
4374,2024,1,2024-04-01,,,,,,,,0.07936067930571808,0.021112238170651384,4.0,4.0
4374,2024,2,2024-07-01,0.05353982300884952,0.85,0.7964601769911505,17.0,3.0,90.0,23.0,0.09457423288393722,0.012048659919601204,3.0,5.0
4374,2024,3,2024-10-01,,,,,,,,0.051697384901918,0.012779076339618764,4.0,4.0
4374,2024,4,2025-01-01,0.06666666666666665,1.0,0.9333333333333333,38.0,0.0,14.0,1.0,0.09291333794408374,0.01457402363078128,5.0,3.0
4374,2025,1,2025-04-01,,,,,,,,0.06306518786687246,7.015545104669882e-05,4.0,4.0
4374,2025,2,2025-07-01,0.0,0.8888888888888888,0.8888888888888888,8.0,1.0,8.0,1.0,0.14607745268827835,-0.005007439317035813,4.0,4.0
4374,2025,3,2025-10-01,,,,,,,,0.09416179193844518,0.09050181085355309,5.0,3.0
4374,2025,4,2026-01-01,0.011904761904761973,0.5833333333333334,0.5714285714285714,14.0,10.0,8.0,6.0,0.14410285889813498,0.09322250672031213,4.0,4.0
4374,2026,1,2026-04-01,,,,,,,,0.042123795404272545,0.09255433238680832,5.0,3.0
4374,2026,2,2026-07-01,-0.02857142857142858,0.9714285714285714,1.0,34.0,1.0,41.0,0.0,0.14727339978030501,0.14847067083542975,6.0,2.0
4375,2020,1,2020-04-01,,,,,,,,0.054397672119773165,,,
4375,2020,2,2020-07-01,-0.12121212121212122,0.8787878787878788,1.0,29.0,4.0,9.0,0.0,0.21398207889887422,,,
4375,2020,3,2020-10-01,,,,,,,,0.12010243044088746,,,
4375,2020,4,2021-01-01,0.2345454545454546,0.9545454545454546,0.72,21.0,1.0,18.0,7.0,0.10431338791116399,,,
4375,2021,1,2021-04-01,,,,,,,,0.0465506041037707,,,
4375,2021,2,2021-07-01,-0.08664546899841019,0.6486486486486487,0.7352941176470589,24.0,13.0,25.0,9.0,0.08066670286799503,,,
4375,2021,3,2021-10-01,,,,,,,,0.14026341660450883,,,
4375,2021,4,2022-01-01,0.008333333333333304,0.875,0.8666666666666667,42.0,6.0,26.0,4.0,0.05934730542254129,,,
4375,2022,1,2022-04-01,,,,,,,,0.10823276021772703,-0.008828993839530772,6.0,2.0
