fund_code,report_date,fund_ret_6m,bench_ret_6m,benchmark_adj_return,coverage,equity_weight,matched_weight,rf_approx_weight,missing_weight,n_components,panel_date
4375,2018-12-31,0.2913310038617575,0.20477199327053414,0.08655901059122334,partial_rf,0.8,0.8,0.1,0.1,3,2019-01-01
5094,2018-12-31,0.2913310038617575,0.218409695006959,0.07292130885479847,full,0.8,0.8,0.2,0.0,2,2019-01-01
5765,2018-12-31,0.2913310038617575,0.20534135685779603,0.08598964700396144,partial_rf,0.6,0.6,0.2,0.2,3,2019-01-01
40008,2018-12-31,0.2913310038617575,0.27068304760361084,0.020647956258146638,partial,0.8,0.8,0.0,0.2,2,2019-01-01
40011,2018-12-31,0.2913310038617575,0.27068304760361084,0.020647956258146638,partial,0.8,0.8,0.0,0.2,2,2019-01-01
50004,2018-12-31,0.2913310038617575,0.27068304760361084,0.020647956258146638,partial,0.75,0.75,0.0,0.25,3,2019-01-01
50009,2018-12-31,0.2913310038617575,0.20869794686231824,0.08263305699943924,partial,0.85,0.85,0.0,0.15000000000000002,3,2019-01-01
70027,2018-12-31,0.2913310038617575,0.25761470945444787,0.03371629440730961,full,0.95,0.95,0.05,0.0,2,2019-01-01
100060,2018-12-31,0.2913310038617575,0.1852264224055159,0.10610458145624158,full,0.8,0.8,0.2,0.0,2,2019-01-01
110002,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.25,0.75,2,2019-01-01
110005,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.15,0.85,2,2019-01-01
110013,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.2,0.8,2,2019-01-01
110015,2018-12-31,0.2913310038617575,0.218409695006959,0.07292130885479847,full,0.8,0.8,0.2,0.0,2,2019-01-01
110025,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.2,0.8,2,2019-01-01
110029,2018-12-31,0.2913310038617575,0.218409695006959,0.07292130885479847,full,0.8,0.8,0.2,0.0,2,2019-01-01
160605,2018-12-31,0.2913310038617575,0.0,0.2913310038617575,partial,0.0,0.0,0.0,1.0,3,2019-01-01
161606,2018-12-31,0.2913310038617575,0.27068304760361084,0.020647956258146638,partial,0.7,0.7,0.0,0.3,2,2019-01-01
161810,2018-12-31,0.2913310038617575,0.218409695006959,0.07292130885479847,full,0.8,0.8,0.2,0.0,2,2019-01-01
162201,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.35,0.65,2,2019-01-01
162209,2018-12-31,0.2913310038617575,0.27068304760361084,0.020647956258146638,partial,0.8,0.8,0.0,0.2,2,2019-01-01
162214,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.2,0.8,2,2019-01-01
162703,2018-12-31,0.2913310038617575,0.0,0.2913310038617575,partial,0.0,0.0,0.0,1.0,1,2019-01-01
163402,2018-12-31,0.2913310038617575,0.2706830476036109,0.020647956258146583,partial,0.9,0.9,0.0,0.1,3,2019-01-01
163406,2018-12-31,0.2913310038617575,0.27068304760361084,0.020647956258146638,partial,0.8,0.8,0.0,0.2,2,2019-01-01
163411,2018-12-31,0.2913310038617575,0.27068304760361084,0.020647956258146638,partial,0.8,0.8,0.0,0.2,2,2019-01-01
163412,2018-12-31,0.2913310038617575,0.27068304760361084,0.020647956258146638,partial,0.8,0.8,0.0,0.2,2,2019-01-01
166005,2018-12-31,0.2913310038617575,0.218409695006959,0.07292130885479847,full,0.8,0.8,0.2,0.0,2,2019-01-01
180031,2018-12-31,0.2913310038617575,0.15204314980407277,0.1392878540576847,full,0.8,0.8,0.2,0.0,2,2019-01-01
210008,2018-12-31,0.2913310038617575,0.20534135685779603,0.08598964700396144,full,0.75,0.75,0.25,0.0,2,2019-01-01
213008,2018-12-31,0.2913310038617575,0.19622080601708866,0.09511019784466881,full,0.85,0.85,0.15,0.0,2,2019-01-01
240005,2018-12-31,0.2913310038617575,0.1852264224055159,0.10610458145624158,full,0.8,0.8,0.2,0.0,2,2019-01-01
240017,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.25,0.75,2,2019-01-01
240022,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.2,0.8,2,2019-01-01
257020,2018-12-31,0.2913310038617575,0.23147803315612195,0.05985297070563553,full,0.85,0.85,0.15,0.0,2,2019-01-01
257030,2018-12-31,0.2913310038617575,0.19227301870863306,0.09905798515312442,full,0.7,0.7,0.3,0.0,2,2019-01-01
257070,2018-12-31,0.2913310038617575,0.19820417516537261,0.09312682869638486,partial_rf,0.9,0.9,0.05,0.05,3,2019-01-01
260117,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.2,0.8,2,2019-01-01
270028,2018-12-31,0.2913310038617575,0.0,0.2913310038617575,partial,0.0,0.0,0.0,1.0,3,2019-01-01
320005,2018-12-31,0.2913310038617575,0.218409695006959,0.07292130885479847,full,0.8,0.8,0.2,0.0,2,2019-01-01
320007,2018-12-31,0.2913310038617575,0.20869794686231827,0.08263305699943921,partial,0.9,0.9,0.0,0.1,3,2019-01-01
370024,2018-12-31,0.2913310038617575,0.23147803315612195,0.05985297070563553,full,0.85,0.85,0.15,0.0,2,2019-01-01
460007,2018-12-31,0.2913310038617575,0.22941461134309624,0.06191639251866124,partial_rf,0.8,0.8,0.15,0.05,3,2019-01-01
470028,2018-12-31,0.2913310038617575,0.218409695006959,0.07292130885479847,full,0.8,0.8,0.2,0.0,2,2019-01-01
470098,2018-12-31,0.2913310038617575,0.218409695006959,0.07292130885479847,full,0.8,0.8,0.2,0.0,2,2019-01-01
481010,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.2,0.8,2,2019-01-01
481015,2018-12-31,0.2913310038617575,0.218409695006959,0.07292130885479847,full,0.8,0.8,0.2,0.0,2,2019-01-01
519005,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.2,0.8,2,2019-01-01
519013,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.25,0.75,2,2019-01-01
519026,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.2,0.8,2,2019-01-01
519110,2018-12-31,0.2913310038617575,0.20534135685779603,0.08598964700396144,full,0.75,0.75,0.25,0.0,2,2019-01-01
519173,2018-12-31,0.2913310038617575,0.1530680042611442,0.13826299960061328,full,0.55,0.55,0.45,0.0,2,2019-01-01
519181,2018-12-31,0.2913310038617575,0.1881461750825816,0.10318482877917587,partial_rf,0.65,0.65,0.3,0.05,3,2019-01-01
519185,2018-12-31,0.2913310038617575,0.218409695006959,0.07292130885479847,full,0.8,0.8,0.2,0.0,2,2019-01-01
519674,2018-12-31,0.2913310038617575,0.1431227207300902,0.14820828313166728,full,0.75,0.75,0.25,0.0,2,2019-01-01
519698,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.25,0.75,2,2019-01-01
519773,2018-12-31,0.2913310038617575,0.16613634241030714,0.12519466145145033,full,0.6,0.6,0.4,0.0,2,2019-01-01
570001,2018-12-31,0.2913310038617575,0.218409695006959,0.07292130885479847,full,0.8,0.8,0.2,0.0,2,2019-01-01
580001,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.35,0.65,3,2019-01-01
580002,2018-12-31,0.2913310038617575,0.218409695006959,0.07292130885479847,full,0.8,0.8,0.2,0.0,2,2019-01-01
630010,2018-12-31,0.2913310038617575,0.20534135685779603,0.08598964700396144,full,0.75,0.75,0.25,0.0,2,2019-01-01
11,2019-06-30,0.1889048856978938,0.0708374950040358,0.118067390693858,partial,0.8,0.8,0.0,0.2,2,2019-07-01
17,2019-06-30,0.1889048856978938,0.058611377256819974,0.13029350844107382,full,0.8,0.8,0.2,0.0,2,2019-07-01
20,2019-06-30,0.1889048856978938,0.058611377256819974,0.13029350844107382,full,0.8,0.8,0.2,0.0,2,2019-07-01
31,2019-06-30,0.1889048856978938,0.058611377256819974,0.13029350844107382,full,0.8,0.8,0.2,0.0,2,2019-07-01
61,2019-06-30,0.1889048856978938,0.058611377256819974,0.13029350844107382,full,0.8,0.8,0.2,0.0,2,2019-07-01
73,2019-06-30,0.1889048856978938,0.058611377256819974,0.13029350844107382,full,0.8,0.8,0.2,0.0,2,2019-07-01
263,2019-06-30,0.1889048856978938,0.009706906267956672,0.17919797942993712,partial_rf,0.0,0.0,0.2,0.8,2,2019-07-01
308,2019-06-30,0.1889048856978938,0.05555484782001602,0.13335003787787778,full,0.75,0.75,0.25,0.0,2,2019-07-01
327,2019-06-30,0.1889048856978938,0.009706906267956672,0.17919797942993712,partial_rf,0.0,0.0,0.2,0.8,2,2019-07-01
354,2019-06-30,0.1889048856978938,0.058611377256819974,0.13029350844107382,full,0.8,0.8,0.2,0.0,2,2019-07-01
522,2019-06-30,0.1889048856978938,0.009706906267956672,0.17919797942993712,partial_rf,0.0,0.0,0.2,0.8,2,2019-07-01
