fc,egarch_omega,egarch_alpha,egarch_gamma,egarch_beta,egarch_persistence,egarch_gamma_t,n_obs,fit_ok
9856,-0.17539413344050975,0.23827450420043575,0.014923622376492451,0.9766266372996912,1.214901141500127,0.6685978641928436,1418.0,1
9913,-0.16438582447040265,0.2647619439872056,0.037841216350173755,0.9785194368856238,1.2432813808728294,1.5878537366169412,1391.0,1
9993,-0.17320105280808104,0.1796294088437316,-0.007256094275369105,0.9771864990074091,1.1568159078511406,-0.4182422243548823,1387.0,1
10115,-0.07286017563421832,0.195735817800511,-0.020198805639264794,0.98935276007343,1.185088577873941,-1.076147223001179,1297.0,1
10237,-0.23277891943854623,0.19797832406875865,0.02192740214384798,0.9676422167968518,1.1656205408656104,1.0696431517277563,1353.0,1
10238,-0.2328658521976367,0.19784665910907392,0.02186858766018162,0.9676312241651602,1.165477883274234,1.0661532578985142,1353.0,1
10335,-0.21128505113047882,0.27832219229510713,-0.008282563320415569,0.9720849281017295,1.2504071203968365,-0.2527915191057583,1333.0,1
10389,-0.11077588136591661,0.17080665747096013,0.0018995297677879305,0.9863101394669862,1.1571167969379463,0.11012007131640182,1387.0,1
10390,-0.11072867930139256,0.1711843188029318,0.0015055905411016778,0.9863133850414219,1.1574977038443537,0.08696793575446898,1387.0,1
10415,-0.187239331511918,0.22650384093973616,0.0295455763219976,0.9740917008307654,1.2005955417705014,0.8441254952330774,1256.0,1
10416,-0.18578453509800605,0.22570687562936434,0.029411134674968066,0.9742891604201253,1.1999960360494897,0.8163601837785777,1256.0,1
10912,-0.1684449078356613,0.20063127975631118,-0.005906483618444595,0.976743904231815,1.1773751839881261,-0.2841672811138714,1262.0,1
10913,-0.16856444541380508,0.2007500777802929,-0.005952537973199238,0.9767284804582693,1.1774785582385623,-0.28736781911656706,1262.0,1
11120,-0.12642960649629378,0.195071745472355,0.011540931436613866,0.9828519796763027,1.1779237251486576,0.5507246713102171,1362.0,1
